Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
DB001,-29.6036,114.9707,20220309,09:17,09:18,,Dongara,Fished,2.7,,,,,,,,,,,,,,,
DB002,-29.6041,114.9684,20220309,09:23,09:24,,Dongara,Fished,3.5,,,,,,,,,,,,,,,
DB003,-29.6039,114.964,20220309,09:27,09:30,,Dongara,Fished,5.8,,,,,,,,,,,,,,,
DB004,-29.6031,114.9533,20220309,09:35,09:36,,Dongara,Fished,6.4,,,,,,,,,,,,,,,
DB005,-29.5996,114.9414,20220309,09:42,09:44,,Dongara,Fished,5.3,,,,,,,,,,,,,,,
DB006,-29.5967,114.9322,20220309,09:51,09:52,,Dongara,Fished,8.9,,,,,,,,,,,,,,,
DB007,-29.5964,114.909,20220309,10:01,10:03,,Dongara,Fished,11.1,,,,,,,,,,,,,,,
DB008,-29.5941,114.8918,20220309,10:13,10:15,,Dongara,Fished,17.8,,,,Checked cams after drop,,,,,,,,,,,
DB009,-29.5467,114.8744,20220309,10:29,10:32,,Dongara,Fished,20.8,,,,,,,,,,,,,,,
DB010,-29.5474,114.8978,20220309,10:39,10:41,,Dongara,Fished,13.4,,,,,,,,,,,,,,,
DB011,-29.547,114.9269,20220309,10:53,10:55,,Dongara,Fished,11.2,,,,,,,,,,,,,,,
DB012,-29.5449,114.9346,20220309,10:58,11:01,,Dongara,Fished,7,,,,"Took 1231 out, bad o-ring",,,,,,,,,,,
DB013,-29.5437,114.9445,20220309,11:06,11:08,,Dongara,Fished,7.1,,,,,,,,,,,,,,,
DB014,-29.545,114.9534,20220309,11:13,11:15,,Dongara,Fished,6.3,,,,Dolphins,,,,,,,,,,,
DB015,-29.5439,114.9706,20220309,11:22,11:24,,Dongara,Fished,5.1,,,,,,,,,,,,,,,
DB016,-29.5446,114.9754,20220309,11:26,11:28,,Dongara,Fished,2.6,,,,Urchins,,,,,,,,,,,
DB017,-29.5261,114.9865,20220309,11:42,11:44,,Dongara,Fished,1.8,,,,,,,,,,,,,,,
DB018,-29.5258,114.9861,20220309,11:46,11:48,,Dongara,Fished,3.2,,,,,,,,,,,,,,,
DB019,-29.5236,114.9866,20220309,11:50,11:52,,Dongara,Fished,3.3,,,,Hard bottom/white rock - John,,,,,,,,,,,
DB020,-29.5225,114.9883,20220309,11:54,11:56,,Dongara,Fished,2.4,,,,,,,,,,,,,,,
DB021,-29.5197,114.9864,20220309,12:01,12:03,,Dongara,Fished,3.8,,,,,,,,,,,,,,,
DB022,-29.5241,114.9699,20220309,12:09,12:12,,Dongara,Fished,7.2,,,,"Checked cams, all good",,,,,,,,,,,
DB023,-29.5261,114.9536,20220309,12:18,12:20,,Dongara,Fished,9.1,,,,,,,,,,,,,,,
DB024,-29.5291,114.9367,20220309,12:31,12:33,,Dongara,Fished,5.4,,,,Possible freshwater seep,,,,,,,,,,,
DB025,-29.5311,114.8998,20220309,12:47,12:50,,Dongara,Fished,11.3,,,,,,,,,,,,,,,
DB026,-29.522,114.8737,20220309,12:59,13:02,,Dongara,Fished,12.3,,,,,,,,,,,,,,,
DB027,-29.5177,114.8737,20220309,13:08,13:10,,Dongara,Fished,22,,,,"Checked cams, all good",,,,,,,,,,,
DB028,-29.5061,114.869,20220309,13:15,13:18,,Dongara,Fished,16.5,,,,,,,,,,,,,,,
DB029,-29.5028,114.8641,20220309,13:25,13:27,,Dongara,Fished,25.5,,,,,,,,,,,,,,,
DB030,-29.4747,114.8613,20220309,13:41,13:43,,Dongara,Fished,18.9,,,,,,,,,,,,,,,
DB031,-29.4782,114.8835,20220309,14:16,14:19,,Dongara,Fished,21.1,,,,Checked cams before drop. Freshwater deep hole,,,,,,,,,,,
DB032,-29.4795,114.8887,20220309,14:24,14:27,,Dongara,Fished,18.4,,,,,,,,,,,,,,,
DB034,-29.4803,114.8949,20220309,14:31,14:33,,Dongara,Fished,17.4,,,,,,,,,,,,,,,
DB035,-29.4803,114.8996,20220309,14:36,14:38,,Dongara,Fished,11.2,,,,,,,,,,,,,,,
DB036,-29.4648,114.916,20220309,14:48,14:50,,Dongara,Fished,8.7,,,,,,,,,,,,,,,
DB037,-29.4613,114.9184,20220309,14:55,14:58,,Dongara,Fished,9.5,,,,All cameras and lights good,,,,,,,,,,,
DB038,-29.4599,114.9209,20220309,14:59,15:01,,Dongara,Fished,8.6,,,,,,,,,,,,,,,
DB039,-29.5109,114.9813,20220309,15:22,15:24,,Dongara,Fished,3.8,,,,Coral bombie,,,,,,,,,,,
DB040,-29.5111,114.9814,20220309,15:25,15:26,,Dongara,Fished,4,,,,Repeat of DB039,,,,,,,,,,,
