"sample","date","time.bottom","north.image.name","north.points.annotated","east.image.name","east.points.annotated","south.image.name","south.points.annotated","west.image.name","west.points.annotated"
"FH92",20201020,08:34:48,"FH92N.jpg",20,"FH92E.jpg",20,"FH92S.jpg",20,"FH92W.jpg",20
"FH61",20201020,09:06:40,"FH61N.jpg",20,"FH61E.jpg",20,"FH61S.jpg",20,"FH61W.jpg",20
"FH27",20201020,09:32:24,"FH27N.jpg",20,"FH27E.jpg",20,"FH27S.jpg",20,"FH27W.jpg",20
"FH17",20201020,09:46:43,"FH17N.jpg",20,"FH17E.jpg",20,"FH17S.jpg",20,"FH17W.jpg",20
"FH56",20201020,10:00:37,"FH56N.jpg",20,"FH56E.jpg",20,"FH56S.jpg",20,"FH56W.jpg",20
"FH96",20201020,10:40:01,"FH96N.JPG",20,"FH96E.jpg",20,"FH96S.jpg",20,"FH96W.jpg",20
"FH60",20201020,10:54:30,"FH60N.jpg",20,"FH60E.jpg",20,"FH60S.jpg",20,"FH60W.jpg",20
"FH26",20201020,11:05:07,"FH26N.jpg",20,"FH26E.jpg",20,"FH26S.jpg",20,"FH26W.jpg",20
"FH110",20201020,11:17:02,"FH110N.jpg",20,"FH110E.jpg",20,"FH110S.jpg",20,"FH110W.jpg",20
"FH48",20201020,11:30:39,"FH48N.jpg",20,"FH48E.jpg",20,"FH48S.jpg",20,"FH48W.jpg",20
"FH21",20201020,11:41:29,"FH21N.jpg",20,"FH21E.jpg",20,"FH21S.jpg",20,"FH21W.jpg",20
"FH18",20201020,11:55:54,"FH18N.jpg",20,"FH18E.jpg",20,"FH18S.jpg",20,"FH18W.jpg",20
"FH106",20201020,12:06:58,"FH106N.jpg",20,"FH106E.jpg",20,"FH106S.jpg",20,"FH106W.jpg",20
"FH57",20201020,12:18:13,"FH57N.jpg",20,"FH57E.jpg",20,"FH57S.jpg",20,"FH57W.jpg",20
"FH34",20201020,12:51:20,"FH34N.jpg",20,"FH34E.jpg",20,"FH34S.jpg",20,"FH34W.jpg",20
"FH7",20201020,13:04:33,"FH7N.jpg",20,"FH7E.jpg",20,"FH7S.jpg",20,"FH7W.jpg",20
"FH20",20201020,13:17:56,"FH20N.jpg",20,"FH20E.jpg",20,"FH20S.jpg",20,"FH20W.jpg",20
"FH93",20201020,13:32:44,"FH93N.jpg",20,"FH93E.jpg",20,"FH93S.jpg",20,"FH93W.jpg",20
"FH44",20201020,13:46:18,"FH44N.jpg",20,"FH44E.jpg",20,"FH44S.jpg",20,"FH44W.jpg",20
"FH14",20201020,13:59:42,"FH14N.jpg",20,"FH14E.jpg",20,"FH14S.jpg",20,"FH14W.jpg",20
"FH95",20201020,14:17:10,"FH95N.jpg",20,"FH95E.jpg",20,"FH95S.jpg",20,"FH95W.jpg",20
"FH62",20201020,14:32:04,"FH62N.jpg",20,"FH62E.jpg",20,"FH62S.jpg",20,"FH62W.jpg",20
"FH30",20201020,14:44:05,"FH30N.jpg",20,"FH30E.jpg",20,"FH30S.jpg",20,"FH30W.jpg",20
"261",20201030,07:00:38,"261N.jpg",20,"261E.jpg",20,"261S.jpg",20,"261W.jpg",20
"338",20201030,07:16:01,"338N.jpg",20,"338E.jpg",20,"338S.jpg",20,"338W.jpg",20
"260",20201030,07:25:21,"260N.jpg",20,"260E.jpg",20,"260S.jpg",20,"260W.jpg",20
"259",20201030,07:39:07,"259N.jpg",20,"259E.jpg",20,"259S.jpg",20,"259W.jpg",20
"258",20201030,07:48:52,"258N.jpg",20,"258E.jpg",20,"258S.jpg",20,"258W.jpg",20
"FH10",20201030,08:08:24,"FH10N.jpg",20,"FH10E.jpg",20,"FH10S.jpg",20,"FH10W.jpg",20
"FH111",20201030,08:17:49,"FH111N.jpg",20,"FH111E.jpg",20,"FH111S.jpg",20,"FH111W.jpg",20
"130",20201030,08:30:30,"130N.jpg",20,"130E.jpg",20,"130S.jpg",20,"130W.jpg",20
"152",20201030,08:39:18,"152N.jpg",20,"152E.jpg",20,"152S.jpg",20,"152W.jpg",20
"134",20201030,08:47:50,"134N.jpg",20,"134E.jpg",20,"134S.jpg",20,"134W.jpg",20
"133",20201030,08:58:26,"133N.jpg",20,"133E.jpg",20,"133S.jpg",20,"133W.jpg",20
"132",20201030,09:07:01,"132N.jpg",20,"132E.jpg",20,"132S.jpg",20,"132W.jpg",20
"FH77",20201030,09:18:46,"FH77N.jpg",20,"FH77E.jpg",20,"FH77S.jpg",20,"FH77W.jpg",20
"FH52",20201030,09:28:26,"FH52N.jpg",20,"FH52E.jpg",20,"FH52S.jpg",20,"FH52W.jpg",20
"244",20201030,09:46:06,"244N.jpg",20,"244E.jpg",20,"244S.jpg",20,"244W.jpg",20
"245",20201030,09:55:54,"245N.jpg",20,"245E.jpg",20,"245S.jpg",20,"245W.jpg",20
"64",20201030,10:06:10,"64N.jpg",20,"64E.jpg",20,"64S.jpg",20,"64W.jpg",20
"C01",20201030,10:16:53,"C01N.jpg",20,"C01E.jpg",20,"C01S.jpg",20,"C01W.jpg",20
"65",20201030,10:25:08,"65N.jpg",20,"65E.jpg",20,"65S.jpg",20,"65W.jpg",20
"272",20201030,10:52:55,"272N.jpg",20,"272E.jpg",20,"272S.jpg",20,"272W.jpg",20
"337",20201030,11:01:29,"337N.jpg",20,"337E.jpg",20,"337S.jpg",20,"337W.jpg",20
"273",20201030,11:09:00,"273N.jpg",20,"273E.jpg",20,"273S.jpg",20,"273W.jpg",20
"328",20201030,11:16:15,"328N.jpg",20,"328E.jpg",20,"328S.jpg",20,"328W.jpg",20
"269",20201030,11:26:27,"269N.jpg",20,"269E.jpg",20,"269S.jpg",20,"269W.jpg",20
"145",20201030,11:36:14,"145N.jpg",20,"145E.jpg",20,"145S.jpg",20,"145W.jpg",20
"147",20201030,11:45:03,"147N.jpg",20,"147E.jpg",20,"147S.jpg",20,"147W.jpg",20
"158",20201030,11:57:31,"158N.jpg",20,"158E.jpg",20,"158S.jpg",20,"158W.jpg",20
"146",20201030,12:05:43,"146N.jpg",20,"146E.jpg",20,"146S.jpg",20,"146W.jpg",20
"157",20201030,12:14:40,"157N.jpg",20,"157E.jpg",20,"157S.jpg",20,"157W.jpg",20
"OMR1",20201030,13:03:59,"OMR1N.jpg",20,"OMR1E.jpg",20,"OMR1S.jpg",20,"OMR1W.jpg",20
"OMR2",20201030,13:15:35,"OMR2N.jpg",20,"OMR2E.jpg",20,"OMR2S.jpg",20,"OMR2W.jpg",20
"OMR3",20201030,13:23:54,"OMR3N.jpg",20,"OMR3E.jpg",20,"OMR3S.jpg",20,"OMR3W.jpg",20
"OMR4",20201030,13:35:02,"OMR4N.jpg",20,"OMR4E.jpg",20,"OMR4S.jpg",20,"OMR4W.jpg",20
"216",20201031,07:01:16,"216N.jpg",20,"216E.jpg",20,"216S.jpg",20,"216W.jpg",20
"235",20201031,07:11:46,"235N.jpg",20,"235E.jpg",20,"235S.jpg",20,"235W.jpg",20
"217",20201031,07:19:39,"217N.jpg",20,"217E.jpg",20,"217S.jpg",20,"217W.jpg",20
"215",20201031,07:28:33,"215N.jpg",20,"215E.jpg",20,"215S.jpg",20,"215W.jpg",20
"356",20201031,07:39:03,"356N.jpg",20,"356E.jpg",20,"356S.jpg",20,"356W.jpg",20
"218",20201031,07:53:09,"218N.jpg",20,"218E.jpg",20,"218S.jpg",20,"218W.jpg",20
"102",20201031,08:02:56,"102N.jpg",20,"102E.jpg",20,"102S.jpg",20,"102W.jpg",20
"100",20201031,08:12:11,"100N.jpg",20,"100E.jpg",20,"100S.jpg",20,"100W.jpg",20
"119",20201031,08:20:22,"119N.jpg",20,"119E.jpg",20,"119S.jpg",20,"119W.jpg",20
"101",20201031,08:29:57,"101N.jpg",20,"101E.jpg",20,"101S.jpg",20,"101W.jpg",20
"236",20201031,08:47:27,"236N.jpg",20,"236E.jpg",20,"236S.jpg",20,"236W.jpg",20
"237",20201031,08:57:11,"237N.jpg",20,"237E.jpg",20,"237S.jpg",20,"237W.jpg",20
"C02",20201031,09:07:10,"C02N.jpg",20,"C02E.jpg",20,"C02S.jpg",20,"C02W.jpg",20
"235REDO",20201031,09:17:31,"235NREDO.jpg",20,"235EREDO.jpg",20,"235SREDO.jpg",20,"235WREDO.jpg",20
"239",20201031,09:25:33,"239N.jpg",20,"239E.jpg",20,"239S.jpg",20,"239W.jpg",20
"91",20201031,09:43:27,"91N.jpg",20,"91E.jpg",20,"91S.jpg",20,"91W.jpg",20
"80",20201031,09:51:03,"80N.jpg",20,"80E.jpg",20,"80S.jpg",20,"80W.jpg",20
"81",20201031,09:59:33,"81N.jpg",20,"81E.jpg",20,"81S.jpg",20,"81W.jpg",20
"92",20201031,10:07:45,"92N.jpg",20,"92E.jpg",20,"92S.jpg",20,"92W.jpg",20
"210",20201031,10:19:54,"210N.jpg",20,"210E.jpg",20,"210S.jpg",20,"210W.jpg",20
"336",20201031,10:28:58,"336N.jpg",20,"336E.jpg",20,"336S.jpg",20,"336W.jpg",20
"195",20201031,10:37:50,"195N.jpg",20,"195E.jpg",20,"195S.jpg",20,"195W.jpg",20
"199",20201031,10:47:22,"199N.jpg",20,"199E.jpg",20,"199S.jpg",20,"199W.jpg",20
"16",20201031,11:16:16,"16N.jpg",20,"16E.jpg",20,"16S.jpg",20,"16W.jpg",20
"17",20201031,11:26:32,"17N.jpg",20,"17E.jpg",20,"17S.jpg",20,"17W.jpg",20
"34",20201031,11:34:38,"34N.jpg",20,"34E.jpg",20,"34S.jpg",20,"34W.jpg",20
"15",20201031,11:42:46,"15N.jpg",20,"15E.jpg",20,"15S.jpg",20,"15W.jpg",20
"223",20201031,11:58:00,"223N.jpg",20,"223E.jpg",20,"223S.jpg",20,"223W.jpg",20
"225",20201031,12:09:16,"225N.jpg",20,"225E.jpg",20,"225S.jpg",20,"225W.jpg",20
"222",20201031,12:18:32,"222N.jpg",20,"222E.jpg",20,"222S.jpg",20,"222W.jpg",20
