"sample","latitude","longitude","date","site","location","successful.count"
"FH113",-33.72368897,114.7963721,20201012,"C.FH.7","South-west","Yes"
"FH14",-33.76618897,114.8713721,20201017,"C.FH.10","South-west","Yes"
"FH2",-33.91868897,114.8913721,20201029,"C.FH.21","South-west","Yes"
"FH32",-33.69618897,114.9463721,20201017,"C.FH.5","South-west","Yes"
"FH33",-33.70868897,114.8263721,20201012,"C.FH.6","South-west","Yes"
"FH40",-33.92368897,114.8888721,20201029,"C.FH.21","South-west","Yes"
"FH54",-33.76618897,114.9388721,20201017,"C.FH.9","South-west","Yes"
"FH62",-33.75618897,114.8813721,20201017,"C.FH.8","South-west","Yes"
"FH77",-33.99618897,114.8763721,20201013,"C.FH.24","South-west","Yes"
"IO130",-33.98118897,114.8763721,20201013,"C.IO.37","South-west","Yes"
"IO157",-33.97118897,114.8238721,20201013,"C.IO.33","South-west","Yes"
"IO16",-34.07368897,114.8688721,20201016,"C.IO.35","South-west","Yes"
"IO17",-34.06368897,114.8763721,20201016,"C.IO.35","South-west","Yes"
"IO189",-33.98868897,114.6638721,20201023,"C.IO.40","South-west","Yes"
"IO194",-33.99618897,114.6638721,20201023,"C.IO.40","South-west","Yes"
"IO206",-34.06368897,114.7913721,20201015,"C.IO.7","South-west","Yes"
"IO235",-34.06618897,114.9138721,20201016,"C.IO.2","South-west","Yes"
"IO258",-33.96618897,114.9138721,20201019,"C.IO.20","South-west","Yes"
"IO267",-34.02618897,114.7638721,20201015,"C.IO.23","South-west","Yes"
"IO272",-34.00868897,114.8138721,20201019,"C.IO.21","South-west","Yes"
"IO273",-33.99868897,114.8213721,20201019,"C.IO.22","South-west","Yes"
"IO275",-34.09868897,114.6463721,20201123,"C.IO.15","South-west","Yes"
"IO326",-34.00425,114.6892833,20201123,"C.IO.24","South-west","Yes"
"IO336",-34.0924,114.8663667,20201016,"C.IO.6","South-west","Yes"
"IO344",-34.0844,114.6744,20201023,"C.IO.14","South-west","Yes"
"IO372",-34.00618897,114.6438721,20201023,"C.IO.26","South-west","Yes"
"IO59",-34.14118897,114.7663721,20201022,"C.IO.69","South-west","Yes"
