Date,Sample,Time,Depth,Latitude,Longitude,Status,Site,Location,Observer,Successful.count,Successful.length
20210308,148,7:36:19,46.6,-34.0518,114.925,No-take,NA,South-west,Claude,Yes,No
20210308,2,7:48:50,47.3,-34.0604,114.924,No-take,NA,South-west,Claude,Yes,No
20210308,99,8:00:44,47.2,-34.0555,114.916,No-take,NA,South-west,Claude,Yes,No
20210308,127,8:10:54,44,-34.0545,114.91,No-take,NA,South-west,Claude,Yes,No
20210308,43,8:19:45,45.5,-34.0521,114.909,No-take,NA,South-west,Claude,Yes,No
20210308,110,8:29:42,45,-34.0505,114.907,No-take,NA,South-west,Claude,Yes,No
20210308,139,8:42:53,44,-34.0616,114.898,No-take,NA,South-west,Claude,Yes,No
20210308,133,8:57:52,44,-34.075,114.911,No-take,NA,South-west,Claude,Yes,No
20210308,52,9:08:49,46.1,-34.0826,114.915,No-take,NA,South-west,Claude,Yes,No
20210308,91,9:21:33,44.8,-34.0807,114.928,No-take,NA,South-west,Claude,Yes,No
20210308,47,9:32:14,45.1,-34.0832,114.926,No-take,NA,South-west,Claude,Yes,No
20210308,16,9:42:04,44.1,-34.0848,114.924,No-take,NA,South-west,Claude,Yes,No
20210308,38,9:54:17,45.4,-34.0904,114.917,No-take,NA,South-west,Claude,Yes,No
20210308,71,10:05:26,43.5,-34.0923,114.908,No-take,NA,South-west,Claude,Yes,No
20210308,14,10:15:13,43.6,-34.0979,114.913,No-take,NA,South-west,Claude,Yes,No
20210308,150,10:25:02,44.6,-34.1,114.917,No-take,NA,South-west,Claude,Yes,No
20210308,92,10:32:55,44.3,-34.101,114.918,No-take,NA,South-west,Claude,Yes,No
20210308,28,10:41:55,47,-34.0995,114.923,No-take,NA,South-west,Claude,Yes,No
20210308,124,10:51:39,45,-34.1003,114.929,No-take,NA,South-west,Claude,Yes,No
20210308,53,11:03:15,45.4,-34.1047,114.92,No-take,NA,South-west,Claude,Yes,No
20210308,6,11:15:50,44.4,-34.1073,114.918,No-take,NA,South-west,Claude,Yes,No
20210308,149,11:27:50,45.1,-34.1135,114.931,No-take,NA,South-west,Claude,Yes,No
20210308,32,11:39:04,45.1,-34.1125,114.921,No-take,NA,South-west,Claude,Yes,No
20210308,116,11:47:32,45.1,-34.1138,114.919,No-take,NA,South-west,Claude,Yes,No
20210308,69,11:58:09,43.7,-34.1187,114.911,No-take,NA,South-west,Claude,Yes,No
20210308,138,12:06:14,41.8,-34.119,114.912,No-take,NA,South-west,Claude,Yes,No
20210308,76,12:16:18,43.3,-34.1217,114.916,No-take,NA,South-west,Claude,Yes,No
20210308,144,12:25:27,43.2,-34.1221,114.92,No-take,NA,South-west,Claude,Yes,No
20210308,5,12:36:29,45.2,-34.125,114.93,No-take,NA,South-west,Claude,Yes,No
20210308,107,12:49:09,44.4,-34.1347,114.94,No-take,NA,South-west,Claude,Yes,No
20210308,37,13:01:59,46.5,-34.1303,114.931,No-take,NA,South-west,Claude,Yes,No
20210308,102,13:10:46,35.3,-34.1305,114.926,No-take,NA,South-west,Claude,Yes,No
20210308,57,13:19:57,44.4,-34.1341,114.924,No-take,NA,South-west,Claude,Yes,No
20210308,24,13:28:10,39.9,-34.1347,114.923,No-take,NA,South-west,Claude,Yes,No
20210308,70,13:36:49,38.7,-34.1321,114.922,No-take,NA,South-west,Claude,Yes,No
20210308,62,13:46:11,40.4,-34.1281,114.919,No-take,NA,South-west,Claude,Yes,No
20210308,104,13:54:56,41.8,-34.1255,114.918,No-take,NA,South-west,Claude,Yes,No
20210308,30,14:03:59,41.7,-34.1256,114.915,No-take,NA,South-west,Claude,Yes,No
20210308,95,14:13:32,41.2,-34.1229,114.91,No-take,NA,South-west,Claude,Yes,No
20210308,106,14:31:45,43.9,-34.1313,114.875,No-take,NA,South-west,Claude,Yes,No
20210308,39,14:42:20,42.3,-34.1301,114.877,No-take,NA,South-west,Claude,Yes,No
20210308,140,14:54:08,42.4,-34.1163,114.882,No-take,NA,South-west,Claude,Yes,No
20210308,10,15:04:55,41.5,-34.1084,114.886,No-take,NA,South-west,Claude,Yes,No
20210308,147,15:18:53,43.3,-34.0908,114.895,No-take,NA,South-west,Claude,Yes,No
20210308,23,15:29:52,43.2,-34.0829,114.899,No-take,NA,South-west,Claude,Yes,No
20210309,Old Point,7:36:34,42.3,-34.050194,114.869122,No-take,NA,South-west,Claude,Yes,No
20210309,41,7:50:33,41.4,-34.0596,114.877,No-take,NA,South-west,Claude,Yes,No
20210309,33,8:07:39,46.7,-34.0742,114.871,No-take,NA,South-west,Claude,Yes,No
20210309,86,8:18:23,41.2,-34.0774,114.865,No-take,NA,South-west,Claude,Yes,No
20210309,56,8:30:02,41.6,-34.0782,114.873,No-take,NA,South-west,Claude,Yes,No
20210309,65,8:41:51,41.6,-34.0813,114.884,No-take,NA,South-west,Claude,Yes,No
20210309,137,8:57:16,42.1,-34.0854,114.877,No-take,NA,South-west,Claude,Yes,No
20210309,48,9:08:35,42.1,-34.0891,114.882,No-take,NA,South-west,Claude,Yes,No
20210309,67,9:19:29,42.5,-34.0899,114.873,No-take,NA,South-west,Claude,Yes,No
20210309,126,9:30:26,43.1,-34.0912,114.87,No-take,NA,South-west,Claude,Yes,No
20210309,44,9:43:34,43.8,-34.0931,114.858,No-take,NA,South-west,Claude,Yes,No
20210309,35,9:54:00,43.5,-34.0959,114.852,No-take,NA,South-west,Claude,Yes,No
20210309,100,10:03:01,43.4,-34.0961,114.847,No-take,NA,South-west,Claude,Yes,No
20210309,7,10:12:29,44.2,-34.0995,114.853,No-take,NA,South-west,Claude,Yes,No
20210309,108,10:21:15,44.1,-34.1001,114.85,No-take,NA,South-west,Claude,Yes,No
20210309,26,10:30:44,44.2,-34.1003,114.844,No-take,NA,South-west,Claude,Yes,No
20210309,125,10:40:33,45.8,-34.104,114.847,No-take,NA,South-west,Claude,Yes,No
20210309,98,10:51:35,43.5,-34.1139,114.856,No-take,NA,South-west,Claude,Yes,No
20210309,1,11:05:09,44.1,-34.1318,114.853,No-take,NA,South-west,Claude,Yes,No
20210309,83,11:16:50,47.9,-34.1341,114.838,No-take,NA,South-west,Claude,Yes,No
20210309,88,11:29:20,50.3,-34.1351,114.827,No-take,NA,South-west,Claude,Yes,No
20210309,36,11:39:04,50.7,-34.1317,114.822,No-take,NA,South-west,Claude,Yes,No
20210309,130,11:51:00,48.1,-34.1213,114.83,No-take,NA,South-west,Claude,Yes,No
20210309,46,11:59:57,48.1,-34.119,114.831,No-take,NA,South-west,Claude,Yes,No
20210309,93,12:12:12,45.1,-34.1196,114.845,No-take,NA,South-west,Claude,Yes,No
20210309,78,12:21:57,46.7,-34.1182,114.841,No-take,NA,South-west,Claude,Yes,No
20210309,50,12:32:09,45.7,-34.1143,114.842,No-take,NA,South-west,Claude,Yes,No
20210309,80,12:45:20,46.6,-34.1034,114.832,No-take,NA,South-west,Claude,Yes,No
20210309,114,12:55:55,46.4,-34.0969,114.834,No-take,NA,South-west,Claude,Yes,No
20210309,64,13:06:18,47.7,-34.0937,114.84,No-take,NA,South-west,Claude,Yes,No
20210309,136,13:18:35,46,-34.0891,114.833,No-take,NA,South-west,Claude,Yes,No
20210309,97,13:29:24,44.8,-34.0872,114.842,No-take,NA,South-west,Claude,Yes,No
20210309,121,13:40:06,42.8,-34.0836,114.853,No-take,NA,South-west,Claude,Yes,No
20210309,3,13:52:23,43.5,-34.0789,114.851,No-take,NA,South-west,Claude,Yes,No
20210309,73,14:01:47,43.4,-34.0802,114.848,No-take,NA,South-west,Claude,Yes,No
20210309,118,14:17:04,47.3,-34.0714,114.826,No-take,NA,South-west,Claude,Yes,No
20210309,128,14:26:53,47.8,-34.0694,114.823,No-take,NA,South-west,Claude,Yes,No
