"sample","latitude","longitude","date","location","depth","fov.Open","mean.relief","sd.relief","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.unconsolidated","total.points.annotated"
"148",-34.0518,114.925,20210308,"West Coast",46.6,100,1.44262295081967,0.806733953748786,0,0,2,0,0,23,0,0,1,0,45,71
"2",-34.0604,114.924,20210308,"West Coast",47.3,100,2.32258064516129,0.741602021952146,0,0,10,0,0,32,0,0,12,0,17,71
"99",-34.0555,114.916,20210308,"West Coast",47.2,100,2,0.430331482911935,0,0,17,0,0,46,0,1,9,0,1,74
"127",-34.0545,114.91,20210308,"West Coast",44,100,3,0,0,0,0,0,0,36,0,20,16,0,1,73
"43",-34.0521,114.909,20210308,"West Coast",45.5,100,2.109375,0.737158583873089,0,0,6,0,0,44,1,9,7,0,13,80
"110",-34.0505,114.907,20210308,"West Coast",45,100,2.7258064516129,0.60515151438919,0,0,4,0,0,31,0,33,1,0,8,77
"139",-34.0616,114.898,20210308,"West Coast",44,100,2.51612903225806,0.503819362758967,0,0,10,0,0,58,0,3,1,0,5,77
"133",-34.075,114.911,20210308,"West Coast",44,100,2.82539682539683,0.382676589626049,0,0,3,0,0,41,0,19,3,0,2,68
"52",-34.0826,114.915,20210308,"West Coast",46.1,100,2.79661016949153,0.40597524202367,0,0,4,0,0,49,0,13,8,0,2,76
"91",-34.0807,114.928,20210308,"West Coast",44.8,100,2.57377049180328,0.531005850358312,0,0,1,0,0,66,0,0,0,0,8,75
"47",-34.0832,114.926,20210308,"West Coast",45.1,100,2.85714285714286,0.352737810751329,0,0,1,0,0,60,0,18,0,0,0,79
"16",-34.0848,114.924,20210308,"West Coast",44.1,100,2.734375,0.718070330817254,0,0,0,0,0,44,0,20,8,0,1,73
"38",-34.0904,114.917,20210308,"West Coast",45.4,100,2.98412698412698,0.125988157669742,0,0,2,0,0,32,0,19,10,0,2,65
"71",-34.0923,114.908,20210308,"West Coast",43.5,100,2.83606557377049,0.3732884438274,0,0,3,0,0,65,0,5,1,0,5,79
