"campaignid","sample","filename","periodtime","family","genus","species","maxn","dataset","planned.or.exploratory","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","commonwealth.zone","state.zone","raw.hdd.number","con.hdd.number"
"2021-03_West-Coast_BOSS","1","20210309_0735-1530_TOP_0012_0001.mp4","1.43282","Labridae","Ophthalmolepis","lineolatus",5,NA,NA,"-34.1318","114.853","20210309",NA,"West Coast","No-take",NA,"44.1","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","1","20210309_0735-1530_TOP_0012_0001.mp4","1.22317","Labridae","Pseudolabrus","biserialis",1,NA,NA,"-34.1318","114.853","20210309",NA,"West Coast","No-take",NA,"44.1","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","10","20210308_0735-1537_TOP_0167.mp4","0.80024","Labridae","Coris","auricularis",2,NA,NA,"-34.1084","114.886","20210308",NA,"West Coast","No-take",NA,"41.5","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","10","20210308_0735-1537_TOP_0167.mp4","1.34857","Scorpididae","Neatypus","obliquus",1,NA,NA,"-34.1084","114.886","20210308",NA,"West Coast","No-take",NA,"41.5","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","100","20210309_0735-1530_TOP_0009_0001.mp4","0.97876","Labridae","Coris","auricularis",4,NA,NA,"-34.0961","114.847","20210309",NA,"West Coast","No-take",NA,"43.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","100","20210309_0735-1530_TOP_0009_0001.mp4","2.95323","Labridae","Eupetrichthys","angustipes",1,NA,NA,"-34.0961","114.847","20210309",NA,"West Coast","No-take",NA,"43.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","100","20210309_0735-1530_TOP_0009_0001.mp4","2.50528","Labridae","Ophthalmolepis","lineolatus",3,NA,NA,"-34.0961","114.847","20210309",NA,"West Coast","No-take",NA,"43.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","100","20210309_0735-1530_TOP_0009_0001.mp4","0.92898","Labridae","Pseudolabrus","biserialis",8,NA,NA,"-34.0961","114.847","20210309",NA,"West Coast","No-take",NA,"43.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","100","20210309_0735-1530_TOP_0009_0001.mp4","0.46324","Mullidae","Upeneichthys","vlamingii",1,NA,NA,"-34.0961","114.847","20210309",NA,"West Coast","No-take",NA,"43.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","100","20210309_0735-1530_TOP_0009_0001.mp4","0.12457","Pomacentridae","Chromis","klunzingeri",5,NA,NA,"-34.0961","114.847","20210309",NA,"West Coast","No-take",NA,"43.4","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","101","20210310_0737-1601_TOP_0039.mp4","2.72522","Labridae","Coris","auricularis",10,NA,NA,"-34.0917","114.782","20210310",NA,"West Coast","No-take",NA,"65.1","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","101","20210310_0737-1601_TOP_0039.mp4","0.64147","Labridae","Suezichthys","bifurcatus",3,NA,NA,"-34.0917","114.782","20210310",NA,"West Coast","No-take",NA,"65.1","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","101","20210310_0737-1601_TOP_0039.mp4","1.60494","Labridae","Unknown","spp",1,NA,NA,"-34.0917","114.782","20210310",NA,"West Coast","No-take",NA,"65.1","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","101","20210310_0737-1601_TOP_0039.mp4","1.92887","Serranidae","Caesioperca","spp",1,NA,NA,"-34.0917","114.782","20210310",NA,"West Coast","No-take",NA,"65.1","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","101","20210310_0737-1601_TOP_0039.mp4","1.92887","SUS","SUS","SUS",1,NA,NA,"-34.0917","114.782","20210310",NA,"West Coast","No-take",NA,"65.1","Claude","Yes","No",NA,NA,"RAW3","CON1"
"2021-03_West-Coast_BOSS","102","20210308_0735-1537_TOP_0126.mp4","0.29085","Labridae","Ophthalmolepis","lineolatus",2,NA,NA,"-34.1305","114.926","20210308",NA,"West Coast","No-take",NA,"35.3","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","102","20210308_0735-1537_TOP_0127.mp4","0.58809","Labridae","Pseudolabrus","biserialis",3,NA,NA,"-34.1305","114.926","20210308",NA,"West Coast","No-take",NA,"35.3","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","102","20210308_0735-1537_TOP_0127.mp4","0.55556","Scorpididae","Neatypus","obliquus",1,NA,NA,"-34.1305","114.926","20210308",NA,"West Coast","No-take",NA,"35.3","Claude","Yes","No",NA,NA,"RAW2","CON1"
"2021-03_West-Coast_BOSS","102","20210308_0735-1537_TOP_0127.mp4","0.73129","Serranidae","Caesioperca","spp",4,NA,NA,"-34.1305","114.926","20210308",NA,"West Coast","No-take",NA,"35.3","Claude","Yes","No",NA,NA,"RAW2","CON1"
