"sample","latitude","longitude","date","time","site","location","successful.count","fov.limited","fov.open","fov.total.points.annotated","detailed.consolidated.boulder.veneer","detailed.consolidated.rock.no.biota","detailed.consolidated.rock.turf.mat","detailed.consolidated.rock.veneer","detailed.macroalgae.erect.course.branching.brown","detailed.macroalgae.erect.course.branching.red","detailed.macroalgae.erect.course.branching.unknown","detailed.macroalgae.erect.fine.branching.brown","detailed.macroalgae.erect.fine.branching.red","detailed.macroalgae.large.canopy.forming.ecklonia.radiata","detailed.macroalgae.large.canopy.forming.scytothalia.dorycarpa","detailed.macroalgae.small.mixed.","detailed.seagrasses.strap.like.leaves.other.sp.","detailed.seagrasses.strap.like.leaves.thalassodendrum.sp.","detailed.sponges.erect.forms.","detailed.sponges.massive.forms.","detailed.sponges.small.mixed.","detailed.unconsolidated.pebble.gravel.pebble.10.64mm.","detailed.unconsolidated.sand.mud.coarse.sand.","detailed.total.points.annotated","mean.relief","sd.relief"
"01",-34.128599,114.930865,20200602,09:10:00,"c1","South-west","Yes",4,36,40,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,4,19,0,0,26,3.11538461538462,0.325812593608421
"02",-34.125316,114.928838,20200602,09:18:00,"c1","South-west","Yes",10,30,40,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,14,0,0,20,2.95,0.223606797749979
"03",-34.126906,114.925945,20200602,09:27:00,"c1","South-west","Yes",0,20,20,0,0,0,0,1,0,0,0,0,5,0,9,0,0,0,0,0,0,0,15,3,0.377964473009227
"04",-34.122634,114.920337,20200602,09:44:00,"c2","South-west","Yes",0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21,26,0.692307692307692,0.470678724331642
"05",-34.131497,114.915753,20200602,09:57:00,"c3","South-west","Yes",2,38,40,1,0,0,0,3,1,0,0,15,1,0,0,0,0,0,1,1,0,0,23,2.95652173913043,0.474654024198412
"06",-34.132842,114.912405,20200602,10:06:00,"c3","South-west","Yes",0,40,40,0,0,1,0,0,0,0,0,13,0,0,2,6,0,0,0,0,0,1,23,2.78260869565217,0.518434859512082
"07",-34.134771,114.910241,20200602,10:16:00,"c3","South-west","Yes",4,36,40,0,0,0,0,1,0,0,0,9,7,0,0,0,0,0,0,4,0,4,25,2.6,0.763762615825973
"08",-34.129352,114.911755,20200602,13:48:00,"c3","South-west","Yes",14,26,40,0,0,1,5,0,0,0,0,5,8,0,0,0,0,0,5,12,0,0,36,3.38888888888889,0.687761494281174
"09",-34.119541,114.916105,20200602,11:45:00,"c2","South-west","Yes",2,38,40,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,2,0,11,29,2.06896551724138,1.13171912475662
"10",-34.117294,114.918685,20200602,11:51:00,"c2","South-west","Yes",6,34,40,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,12,0,0,24,2.45833333333333,0.508977377704051
"11",-34.117752,114.92306,20200602,13:55:00,"c2","South-west","Yes",0,40,40,0,0,1,0,0,0,1,0,11,0,0,0,0,0,0,0,4,0,13,30,1.5,0.629723529922403
"12",-34.132262,114.928545,20200602,12:03:00,"c1","South-west","Yes",4,36,40,0,0,0,0,0,0,0,0,1,5,0,0,0,4,0,2,2,0,0,14,2.78571428571429,0.42581531362632
"13",-34.128506,114.930547,20200602,12:09:00,"c1","South-west","Yes",6,34,40,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,20,0,4,32,2.1875,0.644455258838937
"14",-34.128381,114.925457,20200602,12:16:00,"c1","South-west","Yes",10,30,40,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,1,1,0,3,27,2.77777777777778,0.640512615220349
"15",-34.125012,114.91032,20200602,14:09:00,"c3","South-west","Yes",5,35,40,0,0,1,1,0,0,0,1,0,20,0,0,0,0,1,0,3,0,6,33,2.57575757575758,0.830297500534561
"16",-34.126181,114.906548,20200602,14:14:00,"c3","South-west","Yes",9,31,40,0,0,0,1,0,0,0,2,1,25,0,0,0,1,0,0,4,0,0,34,2.79411764705882,0.410425630121905
"17",-34.132142,114.92083,20200602,14:20:00,"c3","South-west","Yes",0,40,40,0,0,0,0,0,0,0,0,5,5,8,0,0,0,0,0,0,0,5,23,2.04347826086957,0.705707953345447
"18",-34.128679,114.924078,20200602,14:25:00,"c1","South-west","Yes",5,35,40,0,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,20,3,0
"19",-34.122542,114.927818,20200602,14:30:00,"c1","South-west","No",9,31,40,0,0,0,0,0,0,0,2,5,7,0,0,0,0,0,0,9,0,8,31,2.45161290322581,0.925156191404794
"20",-34.130219,114.820233,20200603,08:16:00,"c8","South-west","Yes",0,40,40,0,2,3,5,0,0,0,0,7,1,0,0,0,0,0,3,1,0,3,25,2.36,0.7
"21",-34.128151,114.817448,20200603,08:24:00,"c8","South-west","Yes",3,37,40,0,0,11,1,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,25,2.28,0.458257569495584
"22",-34.126271,114.819552,20200603,08:32:00,"c8","South-west","Yes",3,36,39,0,1,0,0,0,0,0,0,9,3,1,0,0,0,0,1,1,0,7,23,2.04545454545455,0.843872746402686
"23",-34.124217,114.817017,20200603,08:38:00,"c8","South-west","Yes",8,32,40,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,17,0,0,23,2.56521739130435,0.506869801869702
"24",-34.118739,114.826402,20200603,08:47:00,"c7","South-west","Yes",1,39,40,0,0,3,0,0,0,0,0,6,2,0,0,0,0,0,2,4,0,3,20,2.1,0.640723275517187
"25",-34.116829,114.828432,20200603,08:54:00,"c7","South-west","Yes",3,37,40,0,0,9,0,0,0,0,0,4,4,0,0,0,0,2,0,3,0,0,22,2.45454545454545,0.509647191437625
"26",-34.120881,114.828907,20200603,09:02:00,"c7","South-west","Yes",1,39,40,0,0,2,4,0,0,0,0,11,4,0,0,0,0,0,0,3,0,5,29,2.03448275862069,0.625799980635624
"27",-34.121824,114.832898,20200603,10:19:00,"c7","South-west","Yes",0,40,40,0,1,12,0,0,0,0,0,4,6,0,0,0,0,0,1,0,2,3,29,2.06896551724138,0.65088041927611
