Date,Sample,Direction,Top.memory.card,Bottom.memory.card,Top.cam,Bottom.cam,Time.bottom,Time.end,Depth,Raw.hdd.number,Con.hdd.number,Latitude,Longitude,Comment,Habitat.image.exported,Site,Location,Status,Observer,Successful.count,Successful.length,Video.notes,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
8/3/2021,148,B,170,,1233,,07:36:19,07:43:05,46.6,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,148,E,121,147,1205,1207,07:36:19,07:43:05,46.6,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,148,N,167,156,1201,1202,07:36:19,07:43:05,46.6,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,148,S,172,163,1208,1209,07:36:19,07:43:05,46.6,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,148,W,122,165,1231,1232,07:36:19,07:43:05,46.6,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,2,B,170,,1233,,07:48:50,07:55:23,47.3,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,2,E,121,147,1205,1207,07:48:50,07:55:23,47.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,2,N,167,156,1201,1202,07:48:50,07:55:23,47.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,2,S,172,163,1208,1209,07:48:50,07:55:23,47.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,2,W,122,165,1231,1232,07:48:50,07:55:23,47.3,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,99,B,170,,1233,,08:00:44,08:07:05,47.2,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,99,E,121,147,1205,1207,08:00:44,08:07:05,47.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,99,N,167,156,1201,1202,08:00:44,08:07:05,47.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,99,S,172,163,1208,1209,08:00:44,08:07:05,47.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,99,W,122,165,1231,1232,08:00:44,08:07:05,47.2,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,127,B,170,,1233,,08:10:54,08:16:59,44,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,127,E,121,147,1205,1207,08:10:54,08:16:59,44,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,127,N,167,156,1201,1202,08:10:54,08:16:59,44,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,127,S,172,163,1208,1209,08:10:54,08:16:59,44,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,127,W,122,165,1231,1232,08:10:54,08:16:59,44,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,43,B,170,,1233,,08:19:45,08:26:33,45.5,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,43,E,121,147,1205,1207,08:19:45,08:26:33,45.5,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,43,N,167,156,1201,1202,08:19:45,08:26:33,45.5,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,43,S,172,163,1208,1209,08:19:45,08:26:33,45.5,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,43,W,122,165,1231,1232,08:19:45,08:26:33,45.5,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,110,B,170,,1233,,08:29:42,08:36:02,45,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,110,E,121,147,1205,1207,08:29:42,08:36:02,45,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,110,N,167,156,1201,1202,08:29:42,08:36:02,45,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,110,S,172,163,1208,1209,08:29:42,08:36:02,45,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,110,W,122,165,1231,1232,08:29:42,08:36:02,45,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,139,B,170,,1233,,08:42:53,08:49:37,44,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,139,E,121,147,1205,1207,08:42:53,08:49:37,44,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,139,N,167,156,1201,1202,08:42:53,08:49:37,44,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,139,S,172,163,1208,1209,08:42:53,08:49:37,44,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,139,W,122,165,1231,1232,08:42:53,08:49:37,44,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,133,B,170,,1233,,08:57:52,09:09:08,44,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,133,E,121,147,1205,1207,08:57:52,09:09:08,44,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,133,N,167,156,1201,1202,08:57:52,09:09:08,44,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,133,S,172,163,1208,1209,08:57:52,09:09:08,44,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,133,W,122,165,1231,1232,08:57:52,09:09:08,44,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,52,B,170,,1233,,09:08:49,09:15:05,46.1,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,52,E,121,147,1205,1207,09:08:49,09:15:05,46.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,52,N,167,156,1201,1202,09:08:49,09:15:05,46.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,52,S,172,163,1208,1209,09:08:49,09:15:05,46.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,52,W,122,165,1231,1232,09:08:49,09:15:05,46.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,91,B,170,,1233,,09:21:33,09:27:50,44.8,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,91,E,121,147,1205,1207,09:21:33,09:27:50,44.8,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,91,N,167,156,1201,1202,09:21:33,09:27:50,44.8,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,91,S,172,163,1208,1209,09:21:33,09:27:50,44.8,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,91,W,122,165,1231,1232,09:21:33,09:27:50,44.8,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,47,B,170,,1233,,09:32:14,09:38:00,45.1,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,47,E,121,147,1205,1207,09:32:14,09:38:00,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,47,N,167,156,1201,1202,09:32:14,09:38:00,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,47,S,172,163,1208,1209,09:32:14,09:38:00,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,47,W,122,165,1231,1232,09:32:14,09:38:00,45.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,16,B,170,,1233,,09:42:04,09:48:02,44.1,RAW2,CON1,,,,,,West Coast,,,,,,,,,,,
8/3/2021,16,E,121,147,1205,1207,09:42:04,09:48:02,44.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,16,N,167,156,1201,1202,09:42:04,09:48:02,44.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
8/3/2021,16,S,172,163,1208,1209,09:42:04,09:48:02,44.1,RAW2,CON1,,,,Y,,West Coast,,,,,,,,,,,
