"sample","latitude","longitude","date","time","site","location","successful.count","habitat.backwards.image.saved","fov.facing.up","fov.limited","fov.open","fov.total.points.annotated","broad.ascidians","broad.bryozoa","broad.consolidated","broad.hydroids","broad.macroalgae","broad.octocoral.black","broad.seagrasses","broad.sponges","broad.stony.corals","broad.true.anemones","broad.unconsolidated","broad.total.points.annotated"
"FH10",-33.98618897,114.8863721,20201013,12:32:00,"C.FH.24","South-west","Yes","Yes",0,2,38,40,0,0,12,0,13,0,5,1,0,0,1,32
"FH102",-33.68868897,114.9288721,20201017,06:42:00,"C.FH.3","South-west","Yes","Yes",0,2,38,40,0,0,0,0,0,0,0,0,0,0,35,35
"FH106",-33.78868897,114.8163721,20201012,13:16:00,"C.FH.12","South-west","Yes","Yes",0,3,37,40,0,0,6,0,19,0,0,0,0,0,6,31
"FH108",-33.76118897,114.9238721,20201017,09:32:00,"C.FH.9","South-west","Yes","Yes",0,3,37,40,1,0,2,0,15,0,0,0,0,0,14,32
"FH109",-33.91618897,114.9088721,20201029,13:04:00,"C.FH.20","South-west","Yes","Yes",0,3,33,36,0,0,4,0,10,0,7,11,0,0,4,36
"FH11",-33.89868897,114.9388721,20201029,14:48:00,"C.FH.18","South-west","Yes","Yes",0,3,37,40,0,1,2,0,1,0,0,6,0,0,18,28
"FH110",-33.80868897,114.8213721,20201012,15:06:00,"C.FH.13","South-west","Yes","Yes",0,2,38,40,0,0,5,0,2,0,0,7,0,0,12,26
"FH111",-33.98618897,114.8788721,20201013,12:28:00,"C.FH.24","South-west","Yes","Yes",0,1,39,40,0,0,2,0,11,0,3,0,0,0,21,37
"FH113",-33.72368897,114.7963721,20201012,12:41:00,"C.FH.7","South-west","Yes","Yes",0,0,20,20,0,0,3,0,6,0,7,1,0,0,1,18
"FH12",-33.91868897,114.8963721,20201029,12:46:00,"C.FH.21","South-west","Yes","Yes",0,3,37,40,0,0,2,0,18,0,4,2,0,0,4,30
"FH14",-33.76618897,114.8713721,20201017,11:24:00,"C.FH.10","South-west","Yes","Yes",0,0,20,20,0,0,1,0,6,0,0,1,0,0,9,17
"FH15",-33.68868897,114.8063721,20201012,10:29:00,"C.FH.4","South-west","Yes","Yes",0,2,38,40,0,0,0,0,0,0,0,0,0,0,38,38
"FH16",-33.90118897,114.8563721,20201013,08:02:00,"C.FH.19","South-west","Yes","Yes",0,4,36,40,0,0,5,0,12,0,10,0,0,0,7,34
"FH17",-33.83368897,114.8763721,20201012,15:35:00,"C.FH.14","South-west","Yes","Yes",0,2,38,40,0,0,1,0,17,0,0,4,0,0,13,35
"FH18",-33.79118897,114.8213721,20201012,13:19:00,"C.FH.12","South-west","Yes","Yes",0,2,38,40,0,0,3,0,9,0,0,0,0,0,10,22
"FH2",-33.91868897,114.8913721,20201029,12:43:00,"C.FH.21","South-west","Yes","Yes",0,0,20,20,0,0,0,0,0,0,3,0,0,0,0,3
"FH20",-33.78618897,114.8738721,20201017,11:40:00,"C.FH.11","South-west","Yes","Yes",0,0,40,40,0,0,8,0,10,0,0,0,0,0,12,30
"FH21",-33.79368897,114.8088721,20201012,13:26:00,"C.FH.12","South-west","Yes","Yes",0,1,39,40,0,0,10,0,16,0,5,4,0,0,2,37
"FH23",-33.94618897,114.8288721,20201013,09:51:00,"C.FH.22","South-west","Yes","Yes",0,7,33,40,0,0,8,0,2,0,11,0,0,0,9,30
"FH24",-33.66868897,114.8438721,20201012,07:55:00,"C.FH.1","South-west","Yes","Yes",0,1,39,40,0,0,1,0,11,0,0,1,0,0,22,35
"FH25",-33.87868897,114.8163721,20201013,07:34:00,"C.FH.16","South-west","Yes","Yes",0,1,37,38,0,3,4,0,8,0,5,5,0,0,7,32
"FH26",-33.81118897,114.8288721,20201012,15:10:00,"C.FH.13","South-west","Yes","No",0,6,14,20,0,0,2,0,10,0,0,2,0,0,0,14
"FH27",-33.83618897,114.8713721,20201012,15:39:00,"C.FH.14","South-west","Yes","Yes",0,4,36,40,0,0,9,0,6,0,1,4,0,0,3,23
"FH28",-33.76368897,114.9338721,20201017,09:24:00,"C.FH.9","South-west","Yes","Yes",0,3,37,40,0,1,0,0,1,0,0,0,0,0,30,32
"FH30",-33.75118897,114.8888721,20201017,11:12:00,"C.FH.8","South-west","Yes","Yes",0,3,37,40,0,0,0,0,29,0,0,0,0,0,2,31
