"campaignid","sample","method","distance.to.ramp"
"2020-06_south-west_stereo-BRUVs","01","BRUV","114.930865"
"2020-06_south-west_stereo-BRUVs","02","BRUV","114.928838"
"2020-06_south-west_stereo-BRUVs","03","BRUV","114.925945"
"2020-06_south-west_stereo-BRUVs","04","BRUV","114.920337"
"2020-06_south-west_stereo-BRUVs","05","BRUV","114.915753"
"2020-06_south-west_stereo-BRUVs","06","BRUV","114.912405"
"2020-06_south-west_stereo-BRUVs","07","BRUV","114.910241"
"2020-06_south-west_stereo-BRUVs","08","BRUV","114.911755"
"2020-06_south-west_stereo-BRUVs","09","BRUV","114.916105"
"2020-06_south-west_stereo-BRUVs","10","BRUV","114.918685"
"2020-06_south-west_stereo-BRUVs","11","BRUV","114.92306"
"2020-06_south-west_stereo-BRUVs","12","BRUV","114.928545"
"2020-06_south-west_stereo-BRUVs","13","BRUV","114.930547"
"2020-06_south-west_stereo-BRUVs","14","BRUV","114.925457"
"2020-06_south-west_stereo-BRUVs","15","BRUV","114.91032"
"2020-06_south-west_stereo-BRUVs","16","BRUV","114.906548"
"2020-06_south-west_stereo-BRUVs","17","BRUV","114.92083"
"2020-06_south-west_stereo-BRUVs","18","BRUV","114.924078"
"2020-06_south-west_stereo-BRUVs","20","BRUV","114.820233"
"2020-06_south-west_stereo-BRUVs","21","BRUV","114.817448"
"2020-06_south-west_stereo-BRUVs","22","BRUV","114.819552"
"2020-06_south-west_stereo-BRUVs","23","BRUV","114.817017"
"2020-06_south-west_stereo-BRUVs","24","BRUV","114.826402"
"2020-06_south-west_stereo-BRUVs","25","BRUV","114.828432"
"2020-06_south-west_stereo-BRUVs","26","BRUV","114.828907"
"2020-06_south-west_stereo-BRUVs","27","BRUV","114.832898"
"2020-06_south-west_stereo-BRUVs","28","BRUV","114.852137"
"2020-06_south-west_stereo-BRUVs","29","BRUV","114.855648"
"2020-06_south-west_stereo-BRUVs","30","BRUV","114.85946"
"2020-06_south-west_stereo-BRUVs","31","BRUV","114.860738"
"2020-06_south-west_stereo-BRUVs","32","BRUV","114.86109"
"2020-06_south-west_stereo-BRUVs","33","BRUV","114.8627"
"2020-06_south-west_stereo-BRUVs","34","BRUV","114.866053"
"2020-06_south-west_stereo-BRUVs","35","BRUV","114.869348"
"2020-06_south-west_stereo-BRUVs","36","BRUV","114.878263"
"2020-06_south-west_stereo-BRUVs","37","BRUV","114.878937"
"2020-06_south-west_stereo-BRUVs","38","BRUV","114.883938"
"2020-06_south-west_stereo-BRUVs","39","BRUV","114.884797"
"2020-06_south-west_stereo-BRUVs","40","BRUV","114.880443"
"2020-10_south-west_stereo-BRUVs","FH10","BRUV","114.8863721"
"2020-10_south-west_stereo-BRUVs","FH102","BRUV","114.9288721"
"2020-10_south-west_stereo-BRUVs","FH106","BRUV","114.8163721"
"2020-10_south-west_stereo-BRUVs","FH108","BRUV","114.9238721"
"2020-10_south-west_stereo-BRUVs","FH109","BRUV","114.9088721"
"2020-10_south-west_stereo-BRUVs","FH11","BRUV","114.9388721"
"2020-10_south-west_stereo-BRUVs","FH110","BRUV","114.8213721"
"2020-10_south-west_stereo-BRUVs","FH111","BRUV","114.8788721"
"2020-10_south-west_stereo-BRUVs","FH113","BRUV","114.7963721"
"2020-10_south-west_stereo-BRUVs","FH12","BRUV","10.7228228537215"
"2020-10_south-west_stereo-BRUVs","FH14","BRUV","114.8713721"
"2020-10_south-west_stereo-BRUVs","FH15","BRUV","114.8063721"
"2020-10_south-west_stereo-BRUVs","FH16","BRUV","114.8563721"
"2020-10_south-west_stereo-BRUVs","FH17","BRUV","10.6348826867966"
"2020-10_south-west_stereo-BRUVs","FH18","BRUV","114.8213721"
"2020-10_south-west_stereo-BRUVs","FH2","BRUV","11.088299291363"
"2020-10_south-west_stereo-BRUVs","FH20","BRUV","114.8738721"
"2020-10_south-west_stereo-BRUVs","FH21","BRUV","114.8088721"
"2020-10_south-west_stereo-BRUVs","FH23","BRUV","114.8288721"
"2020-10_south-west_stereo-BRUVs","FH24","BRUV","114.8438721"
"2020-10_south-west_stereo-BRUVs","FH25","BRUV","114.8163721"
"2020-10_south-west_stereo-BRUVs","FH26","BRUV","114.8288721"
"2020-10_south-west_stereo-BRUVs","FH27","BRUV","11.013842556197"
"2020-10_south-west_stereo-BRUVs","FH28","BRUV","11.677111505213"
"2020-10_south-west_stereo-BRUVs","FH30","BRUV","114.8888721"
"2020-10_south-west_stereo-BRUVs","FH31","BRUV","114.8238721"
"2020-10_south-west_stereo-BRUVs","FH32","BRUV","114.9463721"
"2020-10_south-west_stereo-BRUVs","FH33","BRUV","114.8263721"
"2020-10_south-west_stereo-BRUVs","FH34","BRUV","114.8838721"
"2020-10_south-west_stereo-BRUVs","FH35","BRUV","114.9313721"
"2020-10_south-west_stereo-BRUVs","FH37","BRUV","114.8138721"
"2020-10_south-west_stereo-BRUVs","FH39","BRUV","114.9313721"
"2020-10_south-west_stereo-BRUVs","FH40","BRUV","11.6098952824767"
"2020-10_south-west_stereo-BRUVs","FH41","BRUV","114.8388721"
"2020-10_south-west_stereo-BRUVs","FH42","BRUV","114.8113721"
"2020-10_south-west_stereo-BRUVs","FH44","BRUV","114.8638721"
"2020-10_south-west_stereo-BRUVs","FH45","BRUV","114.7988721"
"2020-10_south-west_stereo-BRUVs","FH46","BRUV","11.6338406451812"
"2020-10_south-west_stereo-BRUVs","FH47","BRUV","114.8488721"
"2020-10_south-west_stereo-BRUVs","FH48","BRUV","114.8138721"
"2020-10_south-west_stereo-BRUVs","FH49","BRUV","114.9163721"
"2020-10_south-west_stereo-BRUVs","FH5","BRUV","114.9413721"
"2020-10_south-west_stereo-BRUVs","FH50","BRUV","114.9313721"
"2020-10_south-west_stereo-BRUVs","FH51","BRUV","114.8538721"
"2020-10_south-west_stereo-BRUVs","FH52","BRUV","114.8888721"
"2020-10_south-west_stereo-BRUVs","FH54","BRUV","11.2336127494527"
"2020-10_south-west_stereo-BRUVs","FH55","BRUV","10.2277754979412"
"2020-10_south-west_stereo-BRUVs","FH56","BRUV","11.5985246978274"
"2020-10_south-west_stereo-BRUVs","FH57","BRUV","114.8113721"
"2020-10_south-west_stereo-BRUVs","FH58","BRUV","114.8413721"
"2020-10_south-west_stereo-BRUVs","FH59","BRUV","114.8188721"
"2020-10_south-west_stereo-BRUVs","FH6","BRUV","114.8213721"
"2020-10_south-west_stereo-BRUVs","FH60","BRUV","114.8213721"
"2020-10_south-west_stereo-BRUVs","FH61","BRUV","11.5815148426304"
"2020-10_south-west_stereo-BRUVs","FH62","BRUV","114.8813721"
"2020-10_south-west_stereo-BRUVs","FH63","BRUV","114.8163721"
