"sample","method","distance.to.ramp"
"01","BRUV","16.3417175178694"
"02","BRUV","16.0649293523981"
"03","BRUV","16.3261819235384"
"04","BRUV","16.0882394341498"
"05","BRUV","17.159472744463"
"06","BRUV","17.4223010569209"
"07","BRUV","17.7003444206613"
"08","BRUV","17.0960724905139"
"09","BRUV","15.9398897132957"
"10","BRUV","15.6122702982415"
"11","BRUV","15.4907766042338"
"12","BRUV","16.797191680215"
"13","BRUV","16.3419837580479"
"14","BRUV","16.4951037045441"
"15","BRUV","16.7199870433902"
"16","BRUV","16.9928320444847"
"17","BRUV","17.0418763049084"
"18","BRUV","16.572836719429"
"20","BRUV","22.1251305364904"
"21","BRUV","22.1488553223636"
"22","BRUV","21.8646105334951"
"23","BRUV","21.8781464473762"
"24","BRUV","20.8316067517453"
"25","BRUV","20.5502021162824"
"26","BRUV","20.829193858631"
"27","BRUV","20.6411944565664"
"28","BRUV","18.6982983364536"
"29","BRUV","18.3289291614459"
"30","BRUV","18.1751135929063"
"31","BRUV","18.4240525998241"
"32","BRUV","19.6154138449201"
"33","BRUV","19.7905364328737"
"34","BRUV","19.452158622421"
"35","BRUV","19.5884315453691"
"36","BRUV","18.7295395014246"
"37","BRUV","18.3146687937356"
"38","BRUV","18.2039503261653"
"39","BRUV","18.5728836608859"
"40","BRUV","18.9158590278462"
"FH10","BRUV","16.9500687603419"
"FH102","BRUV","19.6686456181249"
"FH106","BRUV","17.6205862984928"
"FH108","BRUV","12.1374977701669"
"FH109","BRUV","11.1997535373769"
"FH11","BRUV","11.2656463332854"
"FH110","BRUV","16.3201460281137"
"FH111","BRUV","10.3617441487177"
"FH113","BRUV","19.4209319557248"
"FH12","BRUV","10.7228228537215"
"FH14","BRUV","14.867921557948"
"FH15","BRUV","17.6853022543722"
"FH16","BRUV","12.9849411435833"
"FH17","BRUV","10.6348826867966"
"FH18","BRUV","17.083605489606"
"FH2","BRUV","11.088299291363"
"FH20","BRUV","13.2404671121975"
"FH21","BRUV","18.0132551318092"
"FH23","BRUV","15.7443364759622"
"FH24","BRUV","14.0990010557809"
"FH25","BRUV","15.9476184459351"
"FH26","BRUV","15.5744459677915"
"FH27","BRUV","11.013842556197"
"FH28","BRUV","11.677111505213"
"FH30","BRUV","13.4110973376081"
"FH31","BRUV","15.9522964731035"
"FH32","BRUV","18.4695357832063"
"FH33","BRUV","16.2878504405656"
"FH34","BRUV","12.5214103394941"
"FH35","BRUV","13.068443775162"
"FH37","BRUV","17.4757396909525"
"FH39","BRUV","11.0932989200367"
"FH40","BRUV","11.6098952824767"
"FH41","BRUV","14.5608466737679"
"FH42","BRUV","16.4440548837845"
"FH44","BRUV","15.0083658199089"
"FH45","BRUV","18.4444859676228"
"FH46","BRUV","11.6338406451812"
"FH47","BRUV","13.8333895316716"
"FH48","BRUV","17.4788923668952"
"FH49","BRUV","10.3234001199732"
"FH5","BRUV","18.8406439553173"
"FH50","BRUV","20.411187220528"
"FH51","BRUV","13.4079559205088"
"FH52","BRUV","17.2940815641237"
"FH54","BRUV","11.2336127494527"
"FH55","BRUV","10.2277754979412"
"FH56","BRUV","11.5985246978274"
"FH57","BRUV","18.0356882459857"
"FH58","BRUV","14.3473862397268"
"FH59","BRUV","16.4108714799416"
"FH6","BRUV","16.6654489380646"
"FH60","BRUV","16.0540568940256"
"FH61","BRUV","11.5815148426304"
"FH62","BRUV","14.2977329148292"
"FH63","BRUV","16.6677980086155"
"FH64","BRUV","18.0858505364481"
"FH65","BRUV","17.106318809494"
"FH66","BRUV","10.626252397386"
"FH67","BRUV","12.8854766047378"
"FH68","BRUV","15.5798984609357"
"FH69","BRUV","18.0293177756953"
"FH7","BRUV","13.0537401661136"
"FH70","BRUV","13.8723183090771"
"FH71","BRUV","15.8062985216663"
"FH72","BRUV","12.6698018183092"
"FH74","BRUV","18.8266831094507"
"FH77","BRUV","10.601623836915"
"FH78","BRUV","12.9962421773422"
"FH79","BRUV","16.7634014081873"
"FH8","BRUV","18.9814876147391"
"FH82","BRUV","20.0663554542891"
"FH83","BRUV","14.2640246951575"
"FH84","BRUV","19.5733096092012"
"FH85","BRUV","10.0785704763073"
"FH87","BRUV","11.2861265267966"
"FH89","BRUV","18.1152743041527"
"FH9","BRUV","13.4158859825667"
"FH92","BRUV","10.853306234661"
"FH93","BRUV","14.2968856387802"
"FH94","BRUV","10.1662512343927"
"FH95","BRUV","13.8212991871034"
"FH96","BRUV","14.8697270781338"
"FH99","BRUV","14.8386675306039"
"FHA","BRUV","20.057219248397"
"FHB","BRUV","19.8882090280453"
"FHC","BRUV","19.9011783190687"
"FHC01","BRUV","17.2467073755695"
"FHC02","BRUV","17.934391663499"
"FHC03","BRUV","16.4842602786595"
"FHD","BRUV","19.2935874695443"
"FHE","BRUV","19.3589281372348"
"IO1","BRUV","21.8826985303383"
"IO100","BRUV","12.1902733071584"
"IO101","BRUV","13.1439764153063"
"IO102","BRUV","11.6133710620514"
"IO105","BRUV","30.7863360791405"
"IO107","BRUV","30.1208664758787"
"IO108","BRUV","30.4500008787835"
"IO109","BRUV","30.1305197311765"
"IO110","BRUV","29.3998327629482"
"IO113","BRUV","24.4516735336191"
"IO115","BRUV","24.5058302615055"
"IO117","BRUV","24.6293699570006"
"IO119","BRUV","12.4819162729525"
"IO122","BRUV","20.6406928800608"
"IO123","BRUV","20.436475547265"
"IO125","BRUV","20.085723509165"
"IO126","BRUV","20.9710875162023"
"IO130","BRUV","10.630626772698"
"IO132","BRUV","11.0428135848789"
"IO133","BRUV","11.5034591921875"
"IO134","BRUV","11.9867428124918"
"IO145","BRUV","15.4258841165656"
"IO146","BRUV","15.7287160520324"
"IO147","BRUV","14.7632828879332"
"IO148","BRUV","36.4485562663979"
"IO15","BRUV","13.9378694647085"
"IO152","BRUV","11.3187141879276"
"IO153","BRUV","11.2889249583967"
"IO155","BRUV","11.5309961195907"
"IO157","BRUV","15.5659945693982"
"IO158","BRUV","15.9124947027773"
"IO16","BRUV","14.5882346120165"
"IO164","BRUV","20.9048106610855"
"IO165","BRUV","10.3707161452214"
"IO17","BRUV","13.3560576486378"
"IO180","BRUV","26.4819005756712"
"IO184","BRUV","21.6814529346804"
"IO189","BRUV","30.1608648969153"
"IO191","BRUV","29.4823440656951"
"IO192","BRUV","29.7036116642392"
"IO194","BRUV","30.1661071917585"
"IO195","BRUV","16.7483560915445"
"IO199","BRUV","16.0158524890675"
"IO201","BRUV","16.2364088230343"
"IO204","BRUV","20.6643527580456"
"IO206","BRUV","20.1309674148929"
"IO207","BRUV","20.4444221775044"
"IO210","BRUV","15.5707771007913"
"IO211","BRUV","10.7088227070523"
"IOC06","BRUV","12.4095259558769"
"IO216","BRUV","10.467789636865"
"IO217","BRUV","10.7476869140651"
"IO218","BRUV","11.2802794911461"
"IO220","BRUV","15.4199879843144"
"IO222","BRUV","16.965507776044"
"IO223","BRUV","16.0852281372329"
"IO224","BRUV","16.0909765347661"
"IO225","BRUV","17.051979768697"
"IO226","BRUV","15.8321913193087"
"IO227","BRUV","19.1258758971737"
"IO228","BRUV","18.2421030837289"
"IO229","BRUV","18.8771295253027"
"IO235","BRUV","11.0390669901783"
"IO236","BRUV","11.8520999764405"
"IO237","BRUV","11.2924453577482"
"IO239","BRUV","12.4923781055495"
"IO241","BRUV","18.4165671398887"
"IO244","BRUV","17.7510967550559"
"IO245","BRUV","18.4500834541394"
"IO253","BRUV","26.5983840098156"
"IO254","BRUV","27.343788380484"
"IO258","BRUV","13.7284246475731"
"IO259","BRUV","13.6474334604327"
"IO260","BRUV","14.1050055412454"
"IO261","BRUV","14.397560232358"
"IO262","BRUV","11.1186812079592"
"IO263","BRUV","10.550128277879"
"IO264","BRUV","11.2612218556874"
"IO266","BRUV","21.6770192329271"
"IO267","BRUV","21.3186849805918"
"IO269","BRUV","16.3412167021148"
"IO272","BRUV","16.4656267673959"
"IO273","BRUV","15.6760666029175"
"IO275","BRUV","33.9597234031804"
"IO276","BRUV","34.9187497617235"
"IO277","BRUV","34.2628619990818"
"IO278","BRUV","35.1116256013274"
"IO280","BRUV","31.2001110034846"
"IO290","BRUV","26.5507434033445"
"IO291","BRUV","24.6113548363709"
"IO293","BRUV","24.0266708883675"
"IO294","BRUV","24.1946529943486"
"IO295","BRUV","25.2256599163606"
"IO297","BRUV","25.7629522626463"
"IO298","BRUV","30.9618862703091"
"IO299","BRUV","30.7016570406107"
"IO3","BRUV","21.3468607036796"
"IO300","BRUV","31.5371983646498"
"IO302","BRUV","26.209838717928"
"IO306","BRUV","26.7077003835146"
"IO307","BRUV","28.2504083224666"
"IO308","BRUV","27.6383942011142"
"IO310","BRUV","21.4114002269867"
"IO311","BRUV","21.747700391632"
"IO312","BRUV","20.9815377013941"
"IO313","BRUV","24.6183012742681"
"IO319","BRUV","26.5418401911498"
"IO323","BRUV","36.3101723852996"
"IO324","BRUV","32.3962181915743"
"IO325","BRUV","22.8351849986124"
"IO326","BRUV","27.8597239812294"
"IO327","BRUV","21.5237030640195"
"IO328","BRUV","15.6534962677034"
"IO329","BRUV","25.7355023887263"
"IO330","BRUV","24.3681940252294"
"IO331","BRUV","25.24686918031"
"IO332","BRUV","26.4554849131098"
"IO333","BRUV","28.0377049376134"
"IO334","BRUV","21.3980419411213"
"IO335","BRUV","20.0582499397026"
"IO336","BRUV","16.152260403688"
"IO337","BRUV","15.8413516336796"
"IO338","BRUV","13.9660726661683"
"IO339","BRUV","10.7300748731609"
"IO34","BRUV","13.5604913107586"
"IO343","BRUV","34.6014058417458"
"IO344","BRUV","30.9912457329848"
"IO349","BRUV","36.5606436822005"
"IO350","BRUV","35.9026915118553"
"IO351","BRUV","36.6530059066946"
"IO352","BRUV","36.4969342688757"
"IO353","BRUV","15.7182636234787"
"IO354","BRUV","16.2728660201656"
"IO355","BRUV","10.2820944459993"
"IO356","BRUV","11.0671177289888"
"IO357","BRUV","12.0231363223587"
"IO36","BRUV","28.0635743359904"
"IO361","BRUV","23.0206476866972"
"IO363","BRUV","22.1036550263438"
"IO364","BRUV","27.9285758217994"
"IO365","BRUV","22.1763767895113"
"IO369","BRUV","37.0776010530578"
"IO37","BRUV","28.3167247082184"
"IO370","BRUV","31.7780193178535"
"IO372","BRUV","32.0484006776194"
"IO374","BRUV","22.5642354278759"
"IO377","BRUV","27.0068434388659"
"IO378","BRUV","32.4649146327726"
"IO379","BRUV","30.3606757648558"
"IO4","BRUV","22.3396920480955"
"IO40","BRUV","28.4756731674858"
"IO46","BRUV","27.2041368655902"
"IO47","BRUV","27.0320823537228"
"IO49","BRUV","27.3906325428681"
"IO5","BRUV","22.6036704311771"
"IO58","BRUV","25.7514522596784"
"IO59","BRUV","26.6371717026956"
"IO62","BRUV","26.1213361765988"
"IO64","BRUV","19.1507502113256"
"IO65","BRUV","19.2191001880499"
"IO66","BRUV","10.5205761414818"
"IO71","BRUV","26.9743424768972"
"IO72","BRUV","14.2834491440494"
"IO73","BRUV","12.9161711283196"
"IO74","BRUV","13.5701631006522"
"IO75","BRUV","13.5391640890201"
"IO80","BRUV","14.8597130262219"
"IO81","BRUV","15.1524020708847"
"IO91","BRUV","14.5720746378402"
"IO92","BRUV","15.4360760184471"
"IO95","BRUV","28.0947496844467"
"IO96","BRUV","28.5165060949389"
"IO98","BRUV","28.7417122530539"
"IOC04","BRUV","24.7623006949867"
"IOC05","BRUV","10.9928831101881"
"IO215","BRUV","10.5615823136522"
"IOCP11-1","BRUV","27.1419268119541"
"IOCP11-2","BRUV","27.5570730580396"
"IOCP2311","BRUV","36.0411061857806"
"IOREDO344","BRUV","30.9912457329848"
"148","BOSS","22.2036651227098"
"2","BOSS","23.1509201761486"
"99","BOSS","10.0245482055536"
"127","BOSS","10.3371392597346"
"43","BOSS","10.223033867034"
"110","BOSS","10.2432898851256"
"139","BOSS","11.6827276422719"
"133","BOSS","11.9651755401603"
"52","BOSS","12.4283800334036"
"91","BOSS","11.6106574978071"
"47","BOSS","11.9433294737503"
"16","BOSS","12.1897885200311"
"38","BOSS","13.0552544258851"
"71","BOSS","13.6818967151173"
"14","BOSS","13.9585171761315"
"150","BOSS","13.9751212209098"
"92","BOSS","14.0276489052944"
"28","BOSS","13.6640772289238"
"124","BOSS","13.4995037368078"
"53","BOSS","14.3041285240213"
"6","BOSS","14.6452960925827"
"149","BOSS","14.7704217692707"
"32","BOSS","15.0397105592786"
"116","BOSS","15.2496275885822"
"69","BOSS","16.0663187423299"
"138","BOSS","16.053888986199"
"76","BOSS","16.1604791283967"
"144","BOSS","16.0466814511558"
"5","BOSS","15.994134453458"
"107","BOSS","16.7244882671706"
"37","BOSS","16.5154004655493"
"102","BOSS","16.6962864729043"
"57","BOSS","17.1357423922121"
"24","BOSS","17.2312621644222"
"70","BOSS","16.9968862023024"
"62","BOSS","16.6937863120992"
