"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Up","fov.Open","broad.Consolidated","broad.Macroalgae","broad.Seagrasses","broad.Sponges","broad.Unconsolidated"
"J1",34.128599,114.930865,20201119,07:29:32,"MBH","June Sites","Y",0,100,0,6.12244897959184,0,0,93.8775510204082
"J2",34.125316,114.928838,20201119,07:37:40,"MBH","June Sites","Y",0,100,0,30.2325581395349,53.4883720930233,4.65116279069767,11.6279069767442
"J3",34.126906,114.925945,20201119,07:44:54,"MBH","June Sites","Y",0,100,8.88888888888889,26.6666666666667,42.2222222222222,22.2222222222222,0
"J4",34.122634,114.920337,20201119,07:52:40,"MBH","June Sites","Y",0,100,10.8108108108108,72.972972972973,0,10.8108108108108,5.40540540540541
"J5",34.131497,114.915753,20201119,08:19:57,"MBH","June Sites","Y",0,100,2.56410256410256,89.7435897435898,2.56410256410256,0,5.12820512820513
"J6",34.132842,114.912405,20201119,08:11:29,"MBH","June Sites","Y",0,100,0,83.3333333333333,0,16.6666666666667,0
"J7",34.134771,114.910241,20201119,08:27:10,"MBH","June Sites","Y",0,100,28.2051282051282,25.6410256410256,33.3333333333333,5.12820512820513,7.69230769230769
"J8",34.129352,114.911755,20201119,08:03:44,"MBH","June Sites","Y",0,100,0,100,0,0,0
"J9",34.119541,114.916105,20201119,07:13:23,"MBH","June Sites","Y",2,98,0,71.7391304347826,2.17391304347826,8.69565217391304,17.3913043478261
"J10",34.117294,114.918685,20201119,07:20:50,"MBH","June Sites","Y",0,100,0,74,20,4,2
"J11",34.117752,114.92306,20201119,06:58:19,"MBH","June Sites","Y",0,100,2.77777777777778,36.1111111111111,50,11.1111111111111,0
"J12",34.132262,114.928545,20201119,07:05:56,"MBH","June Sites","Y",0,100,2.22222222222222,73.3333333333333,0,24.4444444444444,0
"J13",34.128506,114.930547,20201119,09:11:19,"MBH","June Sites","Y",0,100,2,44,10,2,42
"J14",34.128381,114.925457,20201119,08:48:29,"MBH","June Sites","Y",0,100,5,92.5,0,2.5,0
"J15",34.125012,114.91032,20201119,09:03:36,"MBH","June Sites","Y",0,100,8.16326530612245,67.3469387755102,2.04081632653061,18.3673469387755,4.08163265306122
"J16",34.126181,114.906548,20201119,08:56:44,"MBH","June Sites","Y",8.69565217391304,91.304347826087,6.97674418604651,79.0697674418605,0,0,13.953488372093
"J17",34.132142,114.92083,20201119,08:41:02,"MBH","June Sites","Y",0,100,6.52173913043478,69.5652173913043,19.5652173913043,2.17391304347826,2.17391304347826
"J18",34.128679,114.924078,20201119,09:18:36,"MBH","June Sites","Y",17.3913043478261,82.6086956521739,5.55555555555556,88.8888888888889,2.77777777777778,2.77777777777778,0
"J19",34.122542,114.927818,20201119,11:11:13,"MBH","June Sites","Y",6.25,93.75,14.2857142857143,78.5714285714286,2.38095238095238,2.38095238095238,2.38095238095238
"J20",34.130219,114.820233,20201119,12:23:27,"MBH","June Sites","Y",0,100,52.2727272727273,22.7272727272727,9.09090909090909,9.09090909090909,6.81818181818182
"J21",34.128151,114.817448,20201119,11:18:42,"MBH","June Sites","Y",0,100,14.2857142857143,61.9047619047619,7.14285714285714,4.76190476190476,11.9047619047619
"J22",34.126271,114.819552,20201119,11:26:32,"MBH","June Sites","Y",14.5833333333333,85.4166666666667,23.6842105263158,71.0526315789474,0,5.26315789473684,0
"J24",34.118739,114.826402,20201119,09:28:14,"MBH","June Sites","Y",0,100,13.8888888888889,44.4444444444444,5.55555555555556,2.77777777777778,33.3333333333333
"J25",34.116829,114.828432,20201119,09:43:40,"MBH","June Sites","Y",0,100,5.12820512820513,61.5384615384615,28.2051282051282,0,5.12820512820513
"J26",34.120881,114.828907,20201119,09:35:38,"MBH","June Sites","Y",0,100,5,65,12.5,10,7.5
"J27",34.121824,114.832898,20201119,10:31:14,"MBH","June Sites","Y",0,100,0,100,0,0,0
"J28",34.112916,114.852137,20201119,10:09:12,"MBH","June Sites","Y",0,100,0,76.7441860465116,11.6279069767442,6.97674418604651,4.65116279069767
"J29",34.111084,114.855648,20201119,10:16:30,"MBH","June Sites","Y",0,100,2.22222222222222,55.5555555555556,13.3333333333333,4.44444444444444,24.4444444444444
"J30",34.112094,114.85946,20201119,10:01:46,"MBH","June Sites","Y",0,100,10.8695652173913,52.1739130434783,30.4347826086957,4.34782608695652,2.17391304347826
"J31",34.116007,114.860738,20201119,10:24:15,"MBH","June Sites","Y",0,100,5,52.5,27.5,10,5
"J32",34.130076,114.86109,20201119,09:54:43,"MBH","June Sites","Y",0,100,7.14285714285714,64.2857142857143,16.6666666666667,0,11.9047619047619
"J33",34.133067,114.8627,20201119,11:57:39,"MBH","June Sites","Y",10,90,17.1428571428571,68.5714285714286,0,5.71428571428571,8.57142857142857
"J34",34.131334,114.866053,20201119,11:34:05,"MBH","June Sites","Y",6.38297872340426,93.6170212765958,15.2173913043478,69.5652173913043,6.52173913043478,2.17391304347826,6.52173913043478
"J35",34.134801,114.869348,20201119,11:49:38,"MBH","June Sites","Y",4.34782608695652,95.6521739130435,27.2727272727273,45.4545454545455,0,0,27.2727272727273
"J36",34.130484,114.878263,20201119,11:41:09,"MBH","June Sites","Y",4.16666666666667,95.8333333333333,27.906976744186,67.4418604651163,2.32558139534884,0,2.32558139534884
"J37",34.126354,114.878937,20201119,12:12:46,"MBH","June Sites","Y",0,100,20.4545454545455,27.2727272727273,0,4.54545454545455,47.7272727272727
"J38",34.127912,114.883938,20201119,12:04:47,"MBH","June Sites","Y",0,100,0,32.5581395348837,0,2.32558139534884,65.1162790697674
