"sample","latitude","longitude","date","time","site","location","successful.count","broad.Bryozoa","broad.Consolidated","broad.Hydroids","broad.Macroalgae","broad.Octocoral/Black","broad.Seagrasses","broad.Sponges","broad.Stony corals","broad.Unconsolidated"
"1","-34.0787","114.7789",20201108,09:18:31,NA,"West Coast","na",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","-34.0762","114.7839",20201108,09:29:21,NA,"West Coast","na",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","-34.0912","114.7814",20201108,08:57:56,NA,"West Coast","na",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","-34.0887","114.7764",20201108,09:07:02,NA,"West Coast","na",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","-34.0612","114.8664",20201031,11:42:46,NA,"West Coast",NA,0,10.2564102564103,0,58.974358974359,0,20.5128205128205,0,0,10.2564102564103
"16","-34.0737","114.8689",20201031,11:16:16,NA,"West Coast",NA,0,3.125,0,81.25,0,0,6.25,0,9.375
"17","-34.0637","114.8764",20201031,11:26:32,NA,"West Coast",NA,0,0,0,89.4736842105263,0,5.26315789473684,2.63157894736842,0,2.63157894736842
"34","-34.0612","114.8714",20201031,11:34:38,NA,"West Coast",NA,0,31.5789473684211,0,31.5789473684211,0,36.8421052631579,0,0,0
"36","-34.1037","114.7189",20201104,10:42:42,NA,"West Coast",NA,1.25,1.25,0,0,0,0,0,0,97.5
"37","-34.1087","114.7189",20201104,10:54:04,NA,"West Coast",NA,1.66666666666667,0,0,0,0,0,0,0,98.3333333333333
"40","-34.1037","114.7139",20201104,10:31:33,NA,"West Coast",NA,0,0,0,0,0,0,1.28205128205128,0,98.7179487179487
"46","-34.0687","114.7114",20201108,07:25:59,NA,"West Coast","na",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","-34.0637","114.7114",20201108,07:14:14,NA,"West Coast","na",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","-34.0612","114.7064",20201108,07:03:31,NA,"West Coast","na",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","-34.1362","114.7739",20201104,14:02:50,NA,"West Coast",NA,1.28205128205128,0,0,0,0,0,1.28205128205128,0,97.4358974358974
"59","-34.1412","114.7664",20201104,13:49:33,NA,"West Coast",NA,0,0,0,0,0,0,0,0,100
"62","-34.1337","114.7664",20201104,14:13:05,NA,"West Coast",NA,1.75438596491228,0,1.75438596491228,0,0,0,0,0,96.4912280701754
"63","-34.0112","114.4739",20201107,13:02:42,NA,"West Coast",NA,0,0,0,0,0,0,0,0,100
"64","-34.0137","114.8964",20201030,10:06:10,NA,"West Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","-34.0112","114.8889",20201030,10:25:08,NA,"West Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","-34.0162","114.8814",20201031,14:33:06,NA,"West Coast",NA,0,20,0,45,0,35,0,0,0
"71","-34.0037","114.6989",20201111,13:47:50,NA,"West Coast","na",0,0,0,0,0,0,1.25,0,98.75
"72","-34.0362","114.8464",20201031,13:36:24,NA,"West Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","-34.0287","114.8589",20201031,14:03:39,NA,"West Coast",NA,0,0,0,29.4117647058824,0,64.7058823529412,0,0,5.88235294117647
"74","-34.0287","114.8514",20201031,13:55:30,NA,"West Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","-34.0337","114.8539",20201031,13:45:35,NA,"West Coast",NA,20,20,0,35,0,15,5,0,5
"76","-34.0237","114.4689",20201107,12:33:47,NA,"West Coast",NA,0,0,0,0,0,0,0,0,100
"77","-34.0112","114.4664",20201107,13:16:24,NA,"West Coast",NA,3.92156862745098,0,0,0,0,0,0,0,96.078431372549
"78","-34.0162","114.4689",20201107,12:49:14,NA,"West Coast",NA,1.75438596491228,0,0,0,0,0,0,0,98.2456140350877
"80","-34.0937","114.8889",20201031,09:51:03,NA,"West Coast",NA,0,10.5263157894737,0,47.3684210526316,0,21.0526315789474,5.26315789473684,0,15.7894736842105
"81","-34.0987","114.8914",20201031,09:59:33,NA,"West Coast",NA,0,0,0,50,0,43.75,0,0,6.25
"91","-34.0937","114.8939",20201031,09:43:27,NA,"West Coast",NA,0,15,0,55,0,0,2.5,0,27.5
"92","-34.0987","114.8864",20201031,10:07:45,NA,"West Coast",NA,0,7.5,0,52.5,0,12.5,0,0,27.5
"95","-34.1262","114.7339",20201104,16:33:38,NA,"West Coast",NA,0,0,0,0,0,0,0,0,100
"96","-34.1362","114.7364",20201104,13:16:25,NA,"West Coast",NA,0,0,0,0,0,0,0,0,100
"98","-34.1337","114.7314",20201104,12:50:15,NA,"West Coast",NA,0,0,0,0,0,0,0,0,100
"100","-34.0762","114.9089",20201031,08:12:11,NA,"West Coast",NA,0,30,0,50,0,10,10,0,0
"101","-34.0787","114.8964",20201031,08:29:57,NA,"West Coast",NA,0,5,0,60,0,0,20,0,15
"102","-34.0712","114.9114",20201031,08:02:56,NA,"West Coast",NA,0,5,0,80,0,0,15,0,0
"110","-34.1412","114.7289",20201104,13:03:23,NA,"West Coast",NA,0,0,0,0,0,0,2.53164556962025,0,97.4683544303797
"113","-34.0587","114.7389",20201108,08:21:39,NA,"West Coast","na",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","-34.0537","114.7364",20201108,08:31:25,NA,"West Coast","na",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","-34.0637","114.7389",20201108,08:11:19,NA,"West Coast","na",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","-34.0762","114.9039",20201031,08:20:22,NA,"West Coast",NA,0,10,0,55,0,0,0,0,35
"122","-34.1162","114.8264",20201119,12:31:15,NA,"West Coast",NA,0,0,0,85,0,0,15,0,0
"123","-34.1062","114.8189",20201119,12:49:26,NA,"West Coast",NA,0,0,0,75,0,0,0,0,25
"125","-34.1087","114.8264",20201119,12:40:33,NA,"West Coast",NA,0,18.9189189189189,0,51.3513513513513,0,0,5.40540540540541,0,24.3243243243243
"126","-34.1137","114.8189",20201119,12:58:23,NA,"West Coast",NA,0,40,0,12,0,0,0,20,28
"130","-33.9812","114.8764",20201030,08:30:30,NA,"West Coast",NA,0,0,0,75,0,25,0,0,0
"132","-33.9912","114.8714",20201030,09:07:01,NA,"West Coast",NA,0,0,0,34.4827586206897,0,58.6206896551724,0,0,6.89655172413793
"133","-33.9912","114.8664",20201030,08:58:26,NA,"West Coast",NA,0,10.8108108108108,0,40.5405405405405,0,45.945945945946,2.7027027027027,0,0
"134","-33.9837","114.8614",20201030,08:47:50,NA,"West Coast",NA,0,0,0,78.5714285714286,0,14.2857142857143,0,0,7.14285714285714
"135","-34.0337","114.4839",20201107,11:51:47,NA,"West Coast",NA,2.7027027027027,0,13.5135135135135,0,0,0,21.6216216216216,0,62.1621621621622
"136","-34.0287","114.4789",20201107,12:16:17,NA,"West Coast",NA,26.3157894736842,0,0,0,0,0,15.7894736842105,0,57.8947368421053
"145","-33.9862","114.8239",20201030,11:36:14,NA,"West Coast",NA,0,50,0,50,0,0,0,0,0
"146","-33.9762","114.8214",20201030,12:05:43,NA,"West Coast",NA,0,25,0,15,0,40,0,0,20
"147","-33.9812","114.8314",20201030,11:45:03,NA,"West Coast",NA,0,10.5263157894737,0,36.8421052631579,0,0,0,0,52.6315789473684
"152","-33.9812","114.8689",20201030,08:39:18,NA,"West Coast",NA,0,55.5555555555556,0,33.3333333333333,0,5.55555555555556,0,0,5.55555555555556
"157","-33.9712","114.8239",20201030,12:14:40,NA,"West Coast",NA,0,20,0,52.5,0,7.5,2.5,0,17.5
"158","-33.9812","114.8189",20201030,11:57:31,NA,"West Coast",NA,0,40,0,0,0,0,0,0,60
