family,genus,species,australian.common.name
Carangidae,Seriola,hippos,Samsonfish
Gerreidae,Parequula,melbournensis,Silverbelly
Labridae,Ophthalmolepis,lineolatus,Southern Maori wrasse
Labridae,Pseudolabrus,biserialis,Redband wrasse
Monacanthidae,Meuschenia,galii,Bluelined leatherjacket
Pomacentridae,Chromis,klunzingeri,Blackhead puller
Scombridae,Unknown,spp,Unidentified tuna
Scorpididae,Neatypus,obliquus,Footballer sweep
Serranidae,Caesioperca,spp,Unidentified sea perch species
Triakidae,Furgaleus,macki,Whiskery shark
Glaucosomatidae,Glaucosoma,hebraicum,West Australian dhufish
Labridae,Coris,auricularis,Western King wrasse
Sparidae,Chrysophrys,auratus,Pink snapper
Batrachoididae,Batrachomoeus,rubricephalus,Pinkhead frogfish
Carangidae,Pseudocaranx,spp,Silver trevally
Cheilodactylidae,Nemadactylus,valenciennesi,Blue morwong
Labridae,Achoerodus,gouldii,Western blue groper
Labridae,Choerodon,rubescens,Baldchin groper
Monacanthidae,Meuschenia,freycineti,Sixspine leatherjacket
Myliobatidae,Myliobatis,tenuicaudatus,Southern eagle ray
Scorpididae,Tilodon,sexfasciatus,Moonlighter
Heterodontidae,Heterodontus,portusjacksoni,Port Jackson shark
Labridae,Austrolabrus,maculatus,Blackspotted wrasse
Kyphosidae,Kyphosus,sydneyanus,Silver drummer
Labridae,Bodianus,frenchii,Foxfish
Monacanthidae,Meuschenia,flavolineata,Yellowstriped leatherjacket
Orectolobidae,Orectolobus,spp,Unidentified wobbegong
Pomacentridae,Parma,bicolor,Bicolor scalyfin
Scorpaenidae,Scorpaena,sumptuosa,Western red scorpionfish
Serranidae,Epinephelides,armatus,Breaksea cod
Carcharhinidae,Carcharhinus,limbatus,Common blacktip shark
Pempheridae,Parapriacanthus,elongatus,Elongate bullseye
Pempherididae,Pempheris,klunzingeri,Rough bullseye
Plesiopidae,Trachinops,noarlungae,Yellowhead hulafish
Scorpididae,Scorpis,georgiana,Banded sweep
Dasyatidae,Bathytoshia,brevicaudata,Smooth stingray
Monacanthidae,Acanthaluteres,brownii,Spinytail leatherjacket
Odacidae,Siphonognathus,caninis,Sharpnose weed whiting
Monacanthidae,Meuschenia,scaber,Velvet leatherjacket
Monacanthidae,Meuschenia,venusta,Stars-and-stripes leatherjacket
Mullidae,Upeneichthys,vlamingii,Bluespotted goatfish
Rhinobatidae,Trygonorrhina,dumerilii,Southern fiddler ray
Urolophidae,Trygonoptera,ovalis,Striped stingaree
Pomacentridae,Chromis,westaustralis,West Australian puller
Monacanthidae,Brachaluteres,jacksonianus,Southern pygmy leatherjacket
Monacanthidae,Scobinichthys,granulatus,Rough leatherjacket
Aracanidae,Caprichthys,gymnura,Rigid boxfish
Monacanthidae,Acanthaluteres,vittiger,Toothbrush leatherjacket
Labridae,Eupetrichthys,angustipes,Snakeskin wrasse
Cheilodactylidae,Dactylophora,nigricans,Dusky morwong
Oplegnathidae,Oplegnathus,woodwardi,Knifejaw
Aplodactylidae,Aplodactylus,westralis,Western seacarp
Aracanidae,Anoplocapros,lenticularis,Whitebarred boxfish
Neosebastidae,Neosebastes,pandus,Bighead gurnard perch
Ostraciidae,Aracana,aurita,Shaw's cowfish
Parascylliidae,Parascyllium,ferrugineum,Rusty carpetshark
Urolophidae,Urolophus,circularis,Circular stingaree
Labridae,Notolabrus,parilus,Brownspotted wrasse
