"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","log.sd.relief","broad.macroalgae","distance.to.ramp","aspect","log.tpi","log.roughness","sqrt.slope","depth","status"
"all greater than 20 cm","aspect+log.sd.relief+log.tpi","s(aspect, k = 5, bs = ""cr"") + s(log.sd.relief, k = 5, bs = ""cr"") + s(log.tpi, k = 5, bs = ""cr"") + planned.or.exploratory",745.083176612312,767.978193417093,0.01643,NA,14,1,0,0,0.868,0.718,0,1,0,0,1,1,0,0,0,0
"all greater than 30 cm.aspect+depth+log.roughness","aspect+depth+log.roughness","s(aspect, k = 5, bs = ""cr"") + s(depth, k = 5, bs = ""cr"") + s(log.roughness, k = 5, bs = ""cr"") + planned.or.exploratory",568.67506315171,591.570079956491,0.34231,NA,14,4,0,0,0.535,0.322,0,0,0,0,1,0,1,0,1,0
"all greater than 30 cm.aspect+depth+sqrt.slope","aspect+depth+sqrt.slope","s(aspect, k = 5, bs = ""cr"") + s(depth, k = 5, bs = ""cr"") + s(sqrt.slope, k = 5, bs = ""cr"") + planned.or.exploratory",570.087230479032,592.982247283813,0.32926,NA,14,5,1.412,1.412,0.264,0.159,0,0,0,0,1,0,0,1,1,0
"greater than legal size.aspect+log.roughness+log.tpi","aspect+log.roughness+log.tpi","s(aspect, k = 5, bs = ""cr"") + s(log.roughness, k = 5, bs = ""cr"") + s(log.tpi, k = 5, bs = ""cr"") + planned.or.exploratory",373.724013553308,396.619030358089,0.34227,NA,14.43,3,0,4.54,0.146,0.027,0,0,0,0,1,1,1,0,0,0
"greater than legal size.aspect+log.tpi+sqrt.slope","aspect+log.tpi+sqrt.slope","s(aspect, k = 5, bs = ""cr"") + s(log.tpi, k = 5, bs = ""cr"") + s(sqrt.slope, k = 5, bs = ""cr"") + planned.or.exploratory",373.794634730164,396.689651534945,0.31769,NA,14.25,4,0.071,4.611,0.141,0.026,0,0,0,0,1,1,0,1,0,0
"greater than legal size.aspect+log.roughness","aspect+log.roughness","s(aspect, k = 5, bs = ""cr"") + s(log.roughness, k = 5, bs = ""cr"") + planned.or.exploratory",374.161430615608,392.258215980784,0.26887,NA,10,1,0.437,0.18,0.117,0.243,0,0,0,0,1,0,1,0,0,0
"greater than legal size.aspect+depth+log.roughness","aspect+depth+log.roughness","s(aspect, k = 5, bs = ""cr"") + s(depth, k = 5, bs = ""cr"") + s(log.roughness, k = 5, bs = ""cr"") + planned.or.exploratory",374.566070128195,397.461086932976,0.28155,NA,14,4,0.842,5.382,0.096,0.018,0,0,0,0,1,0,1,0,1,0
"greater than legal size.log.tpi.by.status+sqrt.slope+status","log.tpi.by.status+sqrt.slope+status","s(sqrt.slope, k = 5, bs = ""cr"") + s(log.tpi, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",375.189111159752,400.4151733136,0.36287,NA,16.18,4,1.465,8.337,0.07,0.004,0,0,0,0,0,1,0,1,0,1
"legal size pink snapper.depth+log.roughness.by.status+status","depth+log.roughness.by.status+status","s(depth, k = 5, bs = ""cr"") + s(log.roughness, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",187.837414828175,213.063476982022,0.05659,NA,15,5,0,10.293,0.138,0.002,0,0,0,0,0,0,1,0,1,1
"legal size pink snapper.depth+log.roughness+status","depth+log.roughness+status","s(depth, k = 5, bs = ""cr"") + s(log.roughness, k = 5, bs = ""cr"") + status + planned.or.exploratory",188.789851126022,209.30801014175,0.05435,NA,11,2,0.952,6.537,0.086,0.014,0,0,0,0,0,0,1,0,1,1
"legal size pink snapper.depth+sqrt.slope.by.status+status","depth+sqrt.slope.by.status+status","s(depth, k = 5, bs = ""cr"") + s(sqrt.slope, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",189.584703428732,214.81076558258,0.05159,NA,15.01,5,1.747,12.04,0.058,0.001,0,0,0,0,0,0,0,1,1,1
"legal size pink snapper.log.tpi","log.tpi","s(log.tpi, k = 5, bs = ""cr"") + planned.or.exploratory",189.645322813967,202.770759500384,0.09803,NA,6,1,1.808,0,0.056,0.369,0,0,0,0,0,1,0,0,0,0
"smaller than legal size.aspect+log.roughness.by.status+status","aspect+log.roughness.by.status+status","s(aspect, k = 5, bs = ""cr"") + s(log.roughness, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",372.766646368592,397.99270852244,0,NA,15.02,1,0,0,0.244,0.194,0,0,0,0,1,0,1,0,0,1
"smaller than legal size.aspect.by.status+sqrt.slope.by.status+status","aspect.by.status+sqrt.slope.by.status+status","s(aspect, by = status, k = 5, bs = ""cr"") + s(sqrt.slope, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",372.803620850183,402.548893320026,9e-05,NA,19.05,4,0.037,4.556,0.239,0.02,0,0,0,0,1,0,0,1,0,1
"smaller than legal size.aspect.by.status+log.roughness.by.status+status","aspect.by.status+log.roughness.by.status+status","s(aspect, by = status, k = 5, bs = ""cr"") + s(log.roughness, by = status, k = 5, bs = ""cr"") + status + planned.or.exploratory",373.428671644963,403.173944114806,6e-04,NA,19.02,4,0.662,5.181,0.175,0.015,0,0,0,0,1,0,1,0,0,1
