"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth.y","roughness","tpi","detrended","cumsum.wi"
"broad.sponges.depth.y+roughness","depth.y+roughness",240.923930911589,263.430105380282,0.03316,NA,4.62,0,0,15.308,0.207,0,1,1,0,0,0.207
"broad.sponges.depth.y+roughness+tpi","depth.y+roughness+tpi",241.602855536115,269.414419583796,0.04416,NA,5.72,0,0.679,21.292,0.147,0,1,1,1,0,0.354
"broad.sponges.roughness","roughness",241.656035614488,253.91444897367,0.00671,NA,2.52,0,0.732,5.792,0.143,0.049,0,1,0,0,0.497
"broad.sponges.depth.y+tpi","depth.y+tpi",242.65331948845,266.433080112929,0.04136,NA,4.89,0,1.729,18.311,0.087,0,1,0,1,0,0.584
"broad.sponges.depth.y+detrended+roughness","depth.y+detrended+roughness",242.802717979794,269.741446150307,0.03217,NA,5.54,0,1.879,21.619,0.081,0,1,1,0,1,0.665
"broad.sponges.roughness+tpi","roughness+tpi",243.164026904531,260.395671070957,0.01338,NA,3.54,0,2.24,12.273,0.067,0.002,0,1,1,0,0.732
"broad.sponges.null","null",243.247102315089,248.122334408209,0,NA,1,0,2.323,0,0.065,0.892,0,0,0,0,0.797
"broad.sponges.depth.y","depth.y",243.460576970023,262.441092696213,0.02741,NA,3.9,0,2.537,14.319,0.058,0.001,1,0,0,0,0.855
"broad.sponges.tpi","tpi",243.926880185283,253.673888908224,0.00879,NA,2,0,3.003,5.552,0.046,0.056,0,0,1,0,0.901
"broad.sponges.depth.y+detrended+tpi","depth.y+detrended+tpi",244.290966357248,272.628606105979,0.0417,NA,5.82,0,3.367,24.506,0.038,0,1,0,1,1,0.939
"broad.sponges.depth.y+detrended","depth.y+detrended",245.494856488122,269.654396082012,0.02807,NA,4.96,0,4.571,21.532,0.021,0,1,0,0,1,0.96
"broad.sponges.detrended","detrended",245.846249074788,268.861487731183,0.03338,NA,4.73,0,4.922,20.739,0.018,0,0,0,0,1,0.978
"broad.sponges.detrended+tpi","detrended+tpi",246.826923611863,274.537636405558,0.03869,NA,5.7,0,5.903,26.415,0.011,0,0,0,1,1,0.989
"broad.sponges.detrended+roughness","detrended+roughness",247.539799795837,275.385058182018,0.03349,NA,5.72,0,6.616,27.263,0.008,0,0,1,0,1,0.997
