"scientific","australian.common.name","fishing.type"
"Centroberyx gerrardi","Bight redfish","C/R"
"Seriola hippos","Samsonfish","C/R"
"Seriola lalandi","Yellowtail kingfish","C/R"
"Dactylophora nigricans","Dusky morwong","B/C/R"
"Nemadactylus valenciennesi","Blue morwong","C/R"
"Glaucosoma hebraicum","West Australian dhufish","C/R"
"Girella tephraeops","Western rock blackfish","R"
"Achoerodus gouldii","Western blue groper","R"
"Bodianus frenchii","Foxfish","C/R"
"Choerodon rubescens","Baldchin groper","C/R"
"Ophthalmolepis lineolatus","Southern Maori wrasse","B/R"
"Acanthaluteres vittiger","Toothbrush leatherjacket","B/C/R"
"Meuschenia flavolineata","Yellowstriped leatherjacket","B/C/R"
"Meuschenia freycineti","Sixspine leatherjacket","B/C/R"
"Meuschenia galii","Bluelined leatherjacket","B/C/R"
"Meuschenia hippocrepis","Horseshoe leatherjacket","B/C/R"
"Meuschenia venusta","Stars-and-stripes leatherjacket","B/C/R"
"Upeneichthys vlamingii","Bluespotted goatfish","C/R"
"Pentaceropsis recurvirostris","Longsnout boarfish","C/R"
"Scorpis aequipinnis","Sea sweep","C/R"
"Scorpis georgiana","Banded sweep","C/R"
"Epinephelides armatus","Breaksea cod","C/R"
"Chrysophrys auratus","Pink snapper","C/R"
"Latropiscis purpurissatus","Sergeant baker","C/R"
"Centroberyx australis","Yelloweye redfish","C/R"
"Centroberyx lineatus","Swallowtail","C/R"
"Carcharhinus limbatus","Common blacktip shark","B/C"
"Carcharhinus plumbeus","Sandbar shark","C"
"Dinolestes lewini","Longfin Pike","C/R"
"Acanthaluteres brownii","Spinytail leatherjacket","B/C/R"
"Eubalichthys mosaicus","Mosaic leatherjacket","B/C/R"
